game,cpu color,num workers,move number,move,move evaluation,move time
1,black,3,1,d7d5,-4,0.5270752906799316
1,black,3,3,e7e6,12,0.5257165431976318
1,black,3,5,g8f6,-68,0.522935152053833
1,black,3,7,b8d7,2,0.517549991607666
1,black,3,9,c7c6,-115,0.5215075016021729
1,black,3,11,h7h5,-75,0.5222549438476562
1,black,3,13,d8c7,27,0.5167317390441895
1,black,3,15,e6e5,-34,0.5247611999511719
1,black,3,17,d7e5,-8,0.5165419578552246
1,black,3,19,h5h4,393,0.521773099899292
1,black,3,21,f7g6,132,0.5144913196563721
1,black,3,23,e8d8,-65,0.5185468196868896
1,black,3,25,a7a5,248,0.5156838893890381
1,black,3,27,f8c5,199,0.5233731269836426
1,black,3,29,c7g3,317,0.5205545425415039
1,black,3,31,d8c7,316,0.5170047283172607
1,black,3,33,g3d3,285,0.5157556533813477
1,black,3,35,h8d8,208,0.520085334777832
1,black,3,37,f6e4,230,0.5192301273345947
1,black,3,39,c5d6,319,0.5201692581176758
1,black,3,41,e4f2,380,0.51772141456604
1,black,3,43,d8f8,435,0.5171983242034912
1,black,3,45,f8f4,405,0.5180914402008057
1,black,3,47,c7d6,386,0.5550117492675781
1,black,3,49,c8b7,276,0.5545737743377686
1,black,3,51,f2e4,350,0.5172226428985596
1,black,3,53,f4e4,383,0.516554594039917
1,black,3,55,d6c7,296,0.5542809963226318
1,black,3,57,b7e4,390,0.5165364742279053
1,black,3,59,e4c2,333,0.5562303066253662
1,black,3,61,a8b8,462,0.5149385929107666
1,black,3,63,c7b6,491,0.5139832496643066
1,black,3,65,a5b4,441,0.554948091506958
1,black,3,67,b8f8,485,0.5557348728179932
1,black,3,69,f8d8,542,0.5555062294006348
1,black,3,71,b6b5,566,0.5160982608795166
1,black,3,73,b5a4,0,0.5557277202606201
2,black,3,1,d7d5,14,0.5208849906921387
2,black,3,3,e7e6,-20,0.5232987403869629
2,black,3,5,g8f6,-36,0.5201356410980225
2,black,3,7,b8d7,31,0.5144944190979004
2,black,3,9,c7c5,-85,0.520470380783081
2,black,3,11,a7a6,-46,0.5223450660705566
2,black,3,13,f8d6,-49,0.520789384841919
2,black,3,15,e8g8,-134,0.5206310749053955
2,black,3,17,h7h5,32,0.5163943767547607
2,black,3,19,a8b8,7,0.5212740898132324
2,black,3,21,b7b5,118,0.5190577507019043
2,black,3,23,b5c4,125,0.5162503719329834
2,black,3,25,d8b6,396,0.5187938213348389
2,black,3,27,d5c4,283,0.5175662040710449
2,black,3,29,b6b3,323,0.554326057434082
2,black,3,31,b3d5,262,0.5542993545532227
2,black,3,33,f6e4,219,0.5208225250244141
2,black,3,35,a6a5,164,0.5177812576293945
