game,cpu color,num workers,move number,move,move evaluation,move time
1,black,4,1,e7e6,-37,0.5226612091064453
1,black,4,3,d7d5,-71,0.5221915245056152
1,black,4,5,c7c5,-12,0.5233662128448486
1,black,4,7,g8f6,-47,0.522141695022583
1,black,4,9,b8d7,-111,0.5210864543914795
1,black,4,11,a7a6,-96,0.518768310546875
1,black,4,13,b7b5,-175,0.5168066024780273
1,black,4,15,c8d7,-195,0.5165135860443115
1,black,4,17,h7h5,-458,0.520266056060791
1,black,4,19,c5c4,-185,0.517744779586792
1,black,4,21,d8c7,-154,0.5171737670898438
1,black,4,23,c7b8,-176,0.51951003074646
1,black,4,25,a6a5,-130,0.5561625957489014
1,black,4,27,b8c7,-168,0.5201613903045654
1,black,4,29,f8d6,-136,0.5156877040863037
1,black,4,31,e8g8,-153,0.5548341274261475
1,black,4,33,g7g6,-194,0.5205624103546143
1,black,4,35,f6e4,-134,0.5186080932617188
1,black,4,37,f8b8,-115,0.518547773361206
1,black,4,39,d5e4,-208,0.5177147388458252
1,black,4,41,d7c6,-286,0.519298791885376
1,black,4,43,c7e7,-327,0.5173177719116211
1,black,4,45,g8g7,-359,0.5215492248535156
1,black,4,47,b8d8,-274,0.5209250450134277
1,black,4,49,g7g8,-291,0.5197007656097412
1,black,4,51,d6c7,-298,0.5206844806671143
1,black,4,53,g8g7,-476,0.5174150466918945
1,black,4,55,g7g8,-352,0.5172779560089111
1,black,4,57,e6e5,-648,0.5185873508453369
1,black,4,59,e5d4,-518,0.5193002223968506
1,black,4,61,d4d3,-539,0.5187375545501709
1,black,4,63,c6d7,-622,0.5557651519775391
1,black,4,65,d7h3,-1089,0.5195846557617188
1,black,4,67,e7e6,-1348,0.5196712017059326
1,black,4,69,a8d8,-1930,0.5159528255462646
1,black,4,71,h5h4,-2983,0.5171363353729248
1,black,4,73,h3f1,-2175,0.5163893699645996
1,black,4,75,e6h3,-2122,0.5546069145202637
1,black,4,77,b5a4,-8,0.5549986362457275
1,black,4,79,d3d2,-4,0.5146267414093018
1,black,4,81,h4g3,-3,0.555119514465332
1,black,4,83,d2e1q,-8,0.5155494213104248
1,black,4,85,d8d1,-7392,0.5560827255249023
1,black,4,87,d1d7,-6217,0.5119216442108154
1,black,4,89,h3g4,-2002,0.5558426380157471
1,black,4,91,g4e6,-1032,0.5174479484558105
1,black,4,93,e6g4,-4,0.5162014961242676
1,black,4,95,g4e6,-1537,0.5186607837677002
1,black,4,97,e6g4,-6668,0.514094352722168
2,black,4,1,e7e5,-5,0.5182359218597412
2,black,4,3,d8e7,1,0.518876314163208
2,black,4,5,e5d4,51,0.5171587467193604
2,black,4,7,b8a6,4,0.519279956817627
2,black,4,9,e7f6,-39,0.5243840217590332
2,black,4,11,c7c6,168,0.5198469161987305
2,black,4,13,d7d6,105,0.516897439956665
2,black,4,15,f6e7,155,0.5189704895019531
2,black,4,17,a6c7,56,0.520301103591919
2,black,4,19,h7h6,115,0.5197429656982422
2,black,4,21,b7c6,-179,0.5178499221801758
2,black,4,23,c8d7,-231,0.5206480026245117
2,black,4,25,c7e6,-221,0.5191490650177002
2,black,4,27,a8b8,-308,0.5189440250396729
2,black,4,29,e6f4,-305,0.5544016361236572
2,black,4,31,e8d7,-175,2.5014755725860596
2,black,4,33,h6g5,-383,0.5239193439483643
2,black,4,35,d7c8,-320,0.5206763744354248
2,black,4,37,e7c7,-359,2.501380205154419
2,black,4,39,c8b7,-350,2.501498222351074
2,black,4,41,c7b6,-452,2.5020742416381836
2,black,4,43,b7a8,-548,2.502203941345215
2,black,4,45,b6a6,-692,0.5189385414123535
2,black,4,47,g8f6,-646,0.5186543464660645
2,black,4,49,g5h4,-879,0.5194504261016846
2,black,4,51,b8c8,-969,0.5543344020843506
2,black,4,53,a6a5,-1046,0.5558445453643799
2,black,4,55,c8c3,-1589,0.5555675029754639
2,black,4,57,a5g5,-1947,0.5551853179931641
2,black,4,59,h4h3,-2116,0.5543994903564453
2,black,4,61,g5e5,-1384,0.554051399230957
2,black,4,63,e5e3,-1342,0.555185079574585
2,black,4,65,e3c3,-1632,0.5550994873046875
2,black,4,67,c3c4,-2334,0.5544803142547607
2,black,4,69,h8h4,-6900,0.5141599178314209
2,black,4,71,f6e4,-5883,0.5550546646118164
2,black,4,73,a7a6,-6564,0.5553760528564453
2,black,4,75,e4d2,-1163,0.5135078430175781
2,black,4,77,a8a7,-4,2.501424551010132
2,black,4,79,d2f3,-5,0.5555713176727295
2,black,4,81,a7b6,-7,0.5560283660888672
2,black,4,83,b6c5,-5,0.5544652938842773
2,black,4,85,c5d4,-3,0.5131244659423828
2,black,4,87,d6d5,-3,0.5111534595489502
2,black,4,89,d4e3,-1,0.559368371963501
2,black,4,91,h4h8,-3,0.5377357006072998
2,black,4,93,e3e4,-10,0.5111877918243408
2,black,4,95,h8h7,-2,0.5548496246337891
2,black,4,97,a6a5,-5,0.5556995868682861
2,black,4,99,e4d3,-2,0.5133383274078369
2,black,4,101,f3e5,-1303,0.5593130588531494
2,black,4,103,e5c4,-10,0.5556347370147705
2,black,4,105,d3c3,-5,0.5549380779266357
2,black,4,107,d5c4,-3,0.5552585124969482
2,black,4,109,c3b4,-1,0.5139026641845703
2,black,4,111,h7f7,-2,0.560692548751831
2,black,4,113,f7h7,-2,0.5374915599822998
2,black,4,115,b4c5,-2,0.5554659366607666
2,black,4,117,c4c3,-2,0.5543153285980225
2,black,4,119,h7b7,-2,0.5150120258331299
2,black,4,121,c5b4,-2,0.560795783996582
2,black,4,123,c3c2,-1,0.5538904666900635
2,black,4,125,c2c1r,-2,0.5163891315460205
2,black,4,127,c1a1,-3,0.511925220489502
2,black,4,129,b4a4,-3,0.5605082511901855
2,black,4,131,a1g1,-2,0.5506975650787354
2,black,4,133,g1a1,-2,0.5108492374420166
2,black,4,135,b7b6,-2,0.5553281307220459
2,black,4,137,b6f6,-5,0.5577805042266846
2,black,4,139,a4b3,-4,0.5550076961517334
2,black,4,141,a1g1,-3,0.5540289878845215
2,black,4,143,b3c4,-3,0.5601363182067871
2,black,4,145,c4d5,-4,0.5577278137207031
2,black,4,147,a5a4,-2,0.5550026893615723
2,black,4,149,g1c1,-2,0.509812593460083
2,black,4,151,c1g1,0,0.4996504783630371
2,black,4,153,g1f1,-2,0.5263292789459229
2,black,4,155,f1f4,-2,0.5116043090820312
2,black,4,157,f4d4,0,0.46999287605285645
2,black,4,159,d5c4,0,0.49996471405029297
2,black,4,161,a4a3,0,0.2643773555755615
2,black,4,163,c4c3,0,0.22013163566589355
2,black,4,165,d4d1,0,0.13058805465698242
2,black,4,167,d1a1,0,0.07342267036437988
3,black,4,1,e7e6,-12,0.5180997848510742
3,black,4,3,d7d5,-46,0.5182225704193115
3,black,4,5,c8d7,-53,0.5219390392303467
3,black,4,7,c7c5,44,0.5209512710571289
3,black,4,9,b8c6,3,0.5197803974151611
3,black,4,11,g8e7,21,0.5252501964569092
3,black,4,13,d8c7,33,0.519603967666626
3,black,4,15,e7f5,-100,0.5201663970947266
3,black,4,17,f5h6,-39,0.517289400100708
3,black,4,19,g7g6,-87,0.5171406269073486
3,black,4,21,h8g8,-127,0.5157341957092285
3,black,4,23,c5d4,-403,0.5164248943328857
3,black,4,25,c6d4,-398,0.5166597366333008
3,black,4,27,f8e7,-973,0.5558006763458252
3,black,4,29,d7c6,-1003,0.5162785053253174
3,black,4,31,d4e6,-1019,0.5146512985229492
3,black,4,33,e7f6,-925,0.5160531997680664
3,black,4,35,c7d8,-949,0.5542619228363037
