game,cpu color,num workers,move number,move,move evaluation,move time
1,black,0,1,c7c5,24,0.05200839042663574
1,black,0,3,g7g6,27,0.053008317947387695
1,black,0,5,f8g7,18,0.05200767517089844
1,black,0,7,d7d6,70,0.05100893974304199
1,black,0,9,b8d7,83,0.0530085563659668
1,black,0,11,h7h6,52,0.057009220123291016
1,black,0,13,e7e5,58,0.052985191345214844
1,black,0,15,f7f5,125,0.0550076961517334
1,black,0,17,d8e7,157,0.05500936508178711
1,black,0,19,e8d8,53,0.0530092716217041
1,black,0,21,e5f4,534,0.05200839042663574
1,black,0,23,g6g5,679,0.053009033203125
1,black,0,25,e7f8,391,0.05200791358947754
1,black,0,27,d7e5,444,0.05400872230529785
1,black,0,29,g7e5,481,0.05200815200805664
1,black,0,31,g8f6,330,0.052008867263793945
1,black,0,33,c8d7,21,0.05200839042663574
1,black,0,35,b7b6,-71,0.05200791358947754
1,black,0,37,d7b5,-34,0.052008628845214844
1,black,0,39,d8c7,-95,0.05300784111022949
1,black,0,41,f8e7,-38,0.05300402641296387
1,black,0,43,h6h5,-176,0.05200695991516113
1,black,0,45,h5g4,-625,0.053008079528808594
1,black,0,47,e7e5,-1041,0.053008079528808594
1,black,0,49,g4h3,-1240,0.052008628845214844
1,black,0,51,e5f5,-1176,0.053008317947387695
1,black,0,53,f5f4,-4348,0.0530087947845459
1,black,0,55,f4f3,-4,0.0530095100402832
1,black,0,57,f6e4,-3,0.053009033203125
1,black,0,59,f3f2,-2,0.05100846290588379
1,black,0,61,f2d2,-1,0.052008867263793945
2,black,0,1,e7e6,39,0.053008079528808594
2,black,0,3,g8f6,27,0.05301022529602051
2,black,0,5,d7d6,13,0.05200839042663574
2,black,0,7,b8c6,82,0.05300784111022949
2,black,0,9,f8e7,94,0.05300760269165039
2,black,0,11,e8g8,93,0.0530085563659668
2,black,0,13,e6e5,99,0.053008079528808594
2,black,0,15,c6b8,99,0.05100822448730469
2,black,0,17,c7c6,80,0.052008628845214844
2,black,0,19,h7h6,48,0.05301022529602051
2,black,0,21,a7a6,56,0.060009002685546875
2,black,0,23,b8d7,105,0.05500960350036621
2,black,0,25,c6d5,61,0.055007219314575195
2,black,0,27,f6d5,9,0.05200839042663574
2,black,0,29,d7b8,58,0.052008628845214844
2,black,0,31,f8e8,111,0.0530087947845459
2,black,0,33,b8c6,147,0.052007436752319336
2,black,0,35,c8e6,172,0.0530095100402832
2,black,0,37,e7f8,122,0.05200791358947754
2,black,0,39,d8f6,109,0.05300712585449219
2,black,0,41,f6d8,106,0.05200910568237305
2,black,0,43,d8h4,127,0.052008867263793945
2,black,0,45,h4f6,115,0.05400967597961426
2,black,0,47,e6h3,70,0.05200934410095215
2,black,0,49,h3g4,51,0.052008628845214844
