game,cpu color,num workers,move number,move,move evaluation,move time
1,white,0,0,d2d4,31,0.05200791358947754
1,white,0,2,c1f4,34,0.052008628845214844
1,white,0,4,g1f3,1,0.05300712585449219
1,white,0,6,b1d2,6,0.05200934410095215
1,white,0,8,e2e3,7,0.05200791358947754
1,white,0,10,f1b5,63,0.05100846290588379
1,white,0,12,e3e4,118,0.05200839042663574
1,white,0,14,b5d7,-9,0.05100679397583008
1,white,0,16,e1g1,53,0.0530085563659668
1,white,0,18,e4e5,70,0.05100846290588379
1,white,0,20,f3d4,89,0.05200791358947754
1,white,0,22,f1e1,201,0.05200910568237305
1,white,0,24,h2h4,102,0.052008867263793945
1,white,0,26,c2c3,155,0.052008628845214844
1,white,0,28,d1f3,145,0.05200767517089844
1,white,0,30,f4g5,120,0.053008317947387695
1,white,0,32,f3e3,189,0.0530085563659668
1,white,0,34,e1c1,152,0.052008628845214844
1,white,0,36,a2a4,180,0.0530087947845459
1,white,0,38,c3d4,195,0.05200839042663574
1,white,0,40,d2b3,152,0.0530087947845459
1,white,0,42,b3c5,350,0.05200910568237305
1,white,0,44,b2b3,65,0.05200791358947754
1,white,0,46,a1b1,315,0.05100679397583008
1,white,0,48,d4c5,132,0.0530087947845459
1,white,0,50,e3d2,41,0.052008628845214844
1,white,0,52,c1e1,350,0.05301022529602051
1,white,0,54,b1c1,-350,0.05200910568237305
1,white,0,56,b3b4,-331,0.0530092716217041
1,white,0,58,g1h2,-707,0.052008867263793945
1,white,0,60,c5c6,-670,0.0530092716217041
1,white,0,62,c1c3,-638,0.052008867263793945
1,white,0,64,f2f3,-426,0.0530085563659668
1,white,0,66,c6c7,-570,0.052008628845214844
1,white,0,68,d2g2,-682,0.05200934410095215
1,white,0,70,g2c2,-748,0.051007986068725586
1,white,0,72,g5f6,-636,0.052008867263793945
1,white,0,74,e1e4,-876,0.053008317947387695
1,white,0,76,c2c1,-1349,0.052007436752319336
1,white,0,78,h2g3,-1591,0.05200910568237305
1,white,0,80,g3f2,-6,0.052007436752319336
1,white,0,82,f2e3,-5,0.05200791358947754
1,white,0,84,e3f4,-4,0.05200767517089844
1,white,0,86,c1h1,-3,0.052008867263793945
1,white,0,88,f4g5,-2,0.008000373840332031
2,white,0,0,d2d4,31,0.053006649017333984
2,white,0,2,c1f4,39,0.053009033203125
2,white,0,4,c2c3,17,0.051007747650146484
2,white,0,6,h2h3,23,0.05100870132446289
2,white,0,8,e2e3,17,0.05200958251953125
2,white,0,10,d1b3,21,0.05200791358947754
2,white,0,12,f1e2,9,0.05200934410095215
2,white,0,14,b3b6,11,0.05200910568237305
2,white,0,16,f4e5,-63,0.05100822448730469
2,white,0,18,g2g4,-93,0.05100822448730469
2,white,0,20,e5f6,-65,0.052008628845214844
2,white,0,22,a2a4,-70,0.051007986068725586
2,white,0,24,b1d2,-40,0.053009033203125
2,white,0,26,g4h5,70,0.05200934410095215
2,white,0,28,a4a5,107,0.051007986068725586
2,white,0,30,d2f1,81,0.05200791358947754
2,white,0,32,g1f3,55,0.05200958251953125
2,white,0,34,h1g1,87,0.052008867263793945
2,white,0,36,e2d3,111,0.05400872230529785
2,white,0,38,e1d2,107,0.05400657653808594
2,white,0,40,d2c2,135,0.052007436752319336
2,white,0,42,d3g6,62,0.052008628845214844
2,white,0,44,f1h2,100,0.05100822448730469
2,white,0,46,h5g6,-164,0.052008628845214844
2,white,0,48,h3h4,-6,0.05100846290588379
2,white,0,50,f2e3,8,0.0530087947845459
2,white,0,52,c2b3,-83,0.052008867263793945
2,white,0,54,a5a6,-125,0.05200934410095215
2,white,0,56,h2g4,330,0.05200695991516113
2,white,0,58,b3a3,-80,0.05200791358947754
2,white,0,60,c3c4,-378,0.05200791358947754
2,white,0,62,g4h2,-586,0.052008628845214844
2,white,0,64,a3a4,-631,0.053008317947387695
2,white,0,66,a1f1,-632,0.052007198333740234
2,white,0,68,b2b3,-686,0.05200815200805664
2,white,0,70,h2f3,-769,0.052008628845214844
2,white,0,72,f1g1,-805,0.05200815200805664
2,white,0,74,b3c4,-761,0.05200815200805664
2,white,0,76,c4c5,-584,0.05500960350036621
2,white,0,78,g1h1,-492,0.051009178161621094
2,white,0,80,h1f1,-682,0.051007747650146484
2,white,0,82,f1h1,-707,0.05200910568237305
2,white,0,84,h1f1,-679,0.05200958251953125
2,white,0,86,f3h2,-671,0.05200815200805664
2,white,0,88,a4a3,-668,0.05200958251953125
2,white,0,90,f1b1,-651,0.0530092716217041
2,white,0,92,b1e1,-700,0.05100703239440918
2,white,0,94,a3b3,-675,0.053009033203125
2,white,0,96,e1a1,-677,0.05100727081298828
2,white,0,98,a1h1,-728,0.0530095100402832
2,white,0,100,h1a1,-734,0.052011966705322266
2,white,0,102,a1e1,-779,0.052008628845214844
2,white,0,104,b3a4,-922,0.054009437561035156
2,white,0,106,e1e2,-1003,0.052008628845214844
2,white,0,108,e2c2,-1132,0.05100893974304199
2,white,0,110,c2c1,-1038,0.0530085563659668
2,white,0,112,c1c2,-1017,0.051009178161621094
2,white,0,114,c2d2,-6385,0.05100846290588379
2,white,0,116,a4a5,-6,0.05100870132446289
2,white,0,118,d2e2,-4,0.05200815200805664
2,white,0,120,e2e1,-2,0.013001441955566406
3,white,0,0,c2c4,31,0.052008867263793945
3,white,0,2,b1c3,32,0.05200934410095215
3,white,0,4,g1f3,28,0.05500984191894531
3,white,0,6,d2d4,54,0.05100846290588379
3,white,0,8,d4d5,163,0.052008628845214844
3,white,0,10,e2e3,170,0.0510101318359375
3,white,0,12,h2h3,150,0.05100822448730469
3,white,0,14,e3e4,170,0.0530087947845459
3,white,0,16,f1d3,139,0.052008628845214844
3,white,0,18,b2b3,114,0.05300784111022949
3,white,0,20,c3b1,104,0.05200839042663574
3,white,0,22,d1e2,73,0.05200910568237305
3,white,0,24,a2a3,65,0.05300736427307129
3,white,0,26,a1a2,37,0.05300784111022949
3,white,0,28,d3c2,45,0.052007436752319336
3,white,0,30,e1g1,133,0.05200839042663574
3,white,0,32,e4e5,122,0.05400967597961426
3,white,0,34,f3e5,116,0.05200791358947754
3,white,0,36,f2f4,119,0.05200791358947754
3,white,0,38,d5e6,-1,0.053008079528808594
3,white,0,40,e2f3,-107,0.0530085563659668
3,white,0,42,a3b4,-153,0.051009178161621094
3,white,0,44,b4b5,233,0.0530087947845459
3,white,0,46,c2f5,404,0.052008628845214844
3,white,0,48,b1c3,452,0.053008317947387695
3,white,0,50,a2a4,656,0.05200815200805664
3,white,0,52,c1e3,748,0.053008079528808594
3,white,0,54,f1d1,966,0.053008079528808594
3,white,0,56,f4e5,1069,0.05200910568237305
3,white,0,58,a4a8,1355,0.05200767517089844
3,white,0,60,a8f8,1730,0.051007747650146484
3,white,0,62,f3d5,5,0.05400872230529785
3,white,0,64,e3c5,4,0.05200815200805664
3,white,0,66,d5a8,3,0.05200815200805664
3,white,0,68,a8e8,2,0.0530085563659668
3,white,0,70,d1d7,1,0.05201077461242676
3,white,0,72,c5f8,1,0.021007537841796875
3,white,0,74,f8c5,1,0.01400136947631836
4,white,0,0,c2c4,31,0.052028656005859375
4,white,0,2,e2e3,52,0.053006649017333984
4,white,0,4,b1c3,57,0.05300784111022949
4,white,0,6,g1f3,42,0.0530085563659668
4,white,0,8,e3d4,42,0.052008867263793945
4,white,0,10,d2d3,105,0.05200910568237305
4,white,0,12,f1e2,116,0.052007436752319336
4,white,0,14,d1e2,50,0.052008867263793945
4,white,0,16,e1g1,55,0.05200815200805664
4,white,0,18,c1g5,41,0.05200910568237305
4,white,0,20,f3e5,60,0.05200839042663574
4,white,0,22,d3d4,547,0.05200934410095215
4,white,0,24,g5f6,149,0.053008079528808594
4,white,0,26,e2g4,19,0.051007747650146484
4,white,0,28,g4f4,-29,0.05200791358947754
4,white,0,30,e5d7,-82,0.052008628845214844
4,white,0,32,d4d5,-745,0.05200910568237305
4,white,0,34,c3e4,-801,0.0530095100402832
4,white,0,36,a1d1,-768,0.05200910568237305
4,white,0,38,e4g5,-739,0.05200767517089844
4,white,0,40,f4h4,-930,0.052008628845214844
