game,cpu color,num workers,move number,move,move evaluation,move time
1,black,2,1,e7e5,-38,1.038825511932373
1,black,2,3,e5d4,0,1.027160406112671
1,black,2,5,d7d6,-8,1.0183286666870117
1,black,2,7,h7h5,79,1.0206389427185059
1,black,2,9,c7c6,120,1.0190684795379639
1,black,2,11,d6d5,168,1.02655029296875
1,black,2,13,g8e7,144,1.0210609436035156
1,black,2,15,c8e6,19,1.0262722969055176
1,black,2,17,e7f5,166,1.0267486572265625
1,black,2,19,g7g6,116,1.0221476554870605
1,black,2,21,d8b6,85,1.0245001316070557
1,black,2,23,b8d7,86,1.0233993530273438
1,black,2,25,a8b8,113,1.0245020389556885
1,black,2,27,f8e7,147,1.0251107215881348
1,black,2,29,e8e7,74,1.0168342590332031
1,black,2,31,e7f8,147,1.0244262218475342
1,black,2,33,f8g7,-153,1.0209777355194092
1,black,2,35,c6c5,0,1.0194571018218994
1,black,2,37,b6c7,115,1.0248875617980957
1,black,2,39,d7e5,0,1.0236387252807617
1,black,2,41,b8d8,18,1.0247716903686523
1,black,2,43,e6f5,0,1.0220069885253906
1,black,2,45,e5c4,0,1.018167495727539
1,black,2,47,f7f6,52,1.0171313285827637
1,black,2,49,h8e8,81,1.0176541805267334
1,black,2,51,d5c4,64,1.0173306465148926
1,black,2,53,c7d7,0,1.0191435813903809
1,black,2,55,d7c7,-14,1.0204405784606934
1,black,2,57,b7c6,0,1.0171279907226562
1,black,2,59,e8e6,110,1.01716947555542
1,black,2,61,f5e4,12,1.0213260650634766
1,black,2,63,d8e8,238,1.0153532028198242
1,black,2,65,c7e7,271,1.0207531452178955
1,black,2,67,e6e7,179,1.0229709148406982
1,black,2,69,e8c8,176,1.0163159370422363
1,black,2,71,f6f5,250,1.0150935649871826
1,black,2,73,g7g8,126,1.019371509552002
1,black,2,75,e4b7,150,1.018996238708496
1,black,2,77,g8f7,210,1.01204514503479
1,black,2,79,e7e2,0,1.0193865299224854
1,black,2,81,b7d5,-115,1.0122642517089844
1,black,2,83,g6g5,6,1.0196692943572998
1,black,2,85,d5e4,8,1.0147745609283447
1,black,2,87,g5f4,9,1.0086538791656494
1,black,2,89,f7f8,5,1.0105822086334229
1,black,2,91,c8c7,0,0.872612714767456
1,black,2,93,a7a6,0,0.12215566635131836
1,black,2,95,e4c6,0,0.02283000946044922
1,black,2,97,c6e8,0,5.001267194747925
2,black,2,1,d7d5,9,1.023498773574829
2,black,2,3,g8f6,-73,1.0214405059814453
2,black,2,5,b8d7,-14,1.0241296291351318
2,black,2,7,h7h6,-43,1.0256400108337402
2,black,2,9,c7c5,-66,1.0284428596496582
2,black,2,11,d7f6,-90,1.022704839706421
2,black,2,13,e7e6,-63,1.0210483074188232
2,black,2,15,f8e7,-156,1.0218267440795898
2,black,2,17,c8d7,-27,1.0236437320709229
2,black,2,19,d5c4,-83,1.0229454040527344
2,black,2,21,e8g8,-174,1.0257527828216553
2,black,2,23,b7b6,-12,1.0205740928649902
2,black,2,25,f6d5,-111,1.0313150882720947
2,black,2,27,b6c5,-46,1.0209722518920898
2,black,2,29,a8c8,-9,1.0168583393096924
2,black,2,31,c8c5,-180,1.0212056636810303
2,black,2,33,d7b5,-614,1.0215873718261719
2,black,2,35,d5e3,-305,1.018104076385498
