game,cpu color,num workers,move number,move,move evaluation,move time
1,white,2,0,e2e4,70,1.0310606956481934
1,white,2,2,e4d5,21,1.0273315906524658
1,white,2,4,b1c3,140,1.0353987216949463
1,white,2,6,g1f3,178,1.0263614654541016
1,white,2,8,h2h3,105,1.014786720275879
1,white,2,10,d2d4,210,1.017934799194336
1,white,2,12,c1d2,106,1.0241434574127197
1,white,2,14,c3e4,207,1.0257868766784668
1,white,2,16,e4f6,115,1.0185015201568604
1,white,2,18,d1e2,203,1.01918363571167
1,white,2,20,e1c1,249,1.0236046314239502
1,white,2,22,c1b1,284,1.016833782196045
1,white,2,24,d2a5,181,1.0260121822357178
1,white,2,26,f3e5,264,1.0234661102294922
1,white,2,28,e2e1,101,1.0161023139953613
1,white,2,30,a5c3,132,1.023679256439209
1,white,2,32,e5d7,610,1.017939805984497
1,white,2,34,d7f8,845,1.0136773586273193
1,white,2,36,d1d4,1378,1.0144188404083252
1,white,2,38,d4e4,1493,1.0537803173065186
1,white,2,40,e4e5,827,1.0161387920379639
1,white,2,42,b1a1,813,1.0177710056304932
1,white,2,44,e1e5,791,1.0139038562774658
1,white,2,46,h3h4,855,1.0152404308319092
1,white,2,48,f1c4,912,1.0166573524475098
1,white,2,50,e5e7,756,1.0166716575622559
1,white,2,52,e7e8,861,1.0133922100067139
1,white,2,54,c4d3,1217,1.0178375244140625
1,white,2,56,c2d3,859,1.0156755447387695
1,white,2,58,h1e1,5,1.0171988010406494
1,white,2,60,f2f4,804,1.0168430805206299
1,white,2,62,b2b3,596,1.0187158584594727
1,white,2,64,c3e5,1192,1.0156655311584473
1,white,2,66,e1c1,1382,1.0542628765106201
1,white,2,68,e8f8,1291,1.053966999053955
1,white,2,70,f8b4,6670,1.0536038875579834
1,white,2,72,b4e7,6,1.0099496841430664
1,white,2,74,a2b3,5,1.0533850193023682
1,white,2,76,e7e5,0,1.016434907913208
1,white,2,78,c1c7,5,1.0137007236480713
1,white,2,80,a1a2,7,1.0100719928741455
1,white,2,82,b3b4,2,1.0094578266143799
1,white,2,84,c7c3,3,1.0537097454071045
1,white,2,86,c3c8,2,1.014789342880249
1,white,2,88,c8c3,4,1.0150291919708252
1,white,2,90,c3c8,2,1.0480189323425293
1,white,2,92,h4h5,3,1.01005220413208
1,white,2,94,a2b2,15,1.0057694911956787
1,white,2,96,b2a1,14,1.0113706588745117
1,white,2,98,a1b1,13,5.001591444015503
1,white,2,100,b1b2,9,1.0094468593597412
1,white,2,102,b2a1,5,1.0544521808624268
1,white,2,104,a1b1,8,5.001276969909668
1,white,2,106,b1c1,5,1.0541582107543945
1,white,2,108,c1d2,6,1.0085675716400146
1,white,2,110,d2c1,9,1.0086350440979004
1,white,2,112,c1d2,10,1.011859655380249
2,white,2,0,e2e4,124,1.0188803672790527
2,white,2,2,e4d5,25,1.019482135772705
2,white,2,4,g1e2,-16,1.0199000835418701
2,white,2,6,b1c3,76,1.0183336734771729
2,white,2,8,d2d4,53,1.0217764377593994
2,white,2,10,e2f4,0,1.0186293125152588
2,white,2,12,c3b5,11,1.0192537307739258
2,white,2,14,f1c4,-466,1.0195705890655518
2,white,2,16,d1e2,-382,1.016042947769165
2,white,2,18,c4e2,-394,1.0194435119628906
2,white,2,20,c2c3,-387,1.0180366039276123
2,white,2,22,b2b4,-401,1.0160737037658691
2,white,2,24,b4a5,-316,1.0173885822296143
2,white,2,26,e2b5,-493,1.0162549018859863
2,white,2,28,b5c6,-394,1.0168769359588623
2,white,2,30,e1g1,-448,1.0138452053070068
2,white,2,32,f1e1,-572,1.018838882446289
2,white,2,34,g1g2,-595,1.0161635875701904
2,white,2,36,c1b2,-684,1.0168874263763428
2,white,2,38,h2h4,-706,1.0127670764923096
2,white,2,40,e1h1,-804,1.0132896900177002
2,white,2,42,f2f3,-747,1.0157856941223145
2,white,2,44,h1h3,-791,1.0535941123962402
2,white,2,46,g2f2,-1062,1.0197100639343262
2,white,2,48,h3h2,-867,1.053957223892212
2,white,2,50,f2g1,-7,1.01515793800354
2,white,2,52,h2d2,-1187,1.054098129272461
2,white,2,54,d2c2,-1200,1.0174057483673096
2,white,2,56,a1f1,-1322,1.0541391372680664
2,white,2,58,a2a3,-4,1.0534696578979492
2,white,2,60,c2c1,0,1.0151686668395996
2,white,2,62,g1h2,-1363,1.0139532089233398
2,white,2,64,c3c4,-11,1.0117390155792236
2,white,2,66,h4h5,-10,1.0148096084594727
2,white,2,68,c4c5,-17,1.0184762477874756
2,white,2,70,f1e1,-10,1.053309679031372
2,white,2,72,h2g2,0,0.7123174667358398
2,white,2,74,c1e1,0,0.5170047283172607
2,white,2,76,g2g3,0,0.2467362880706787
2,white,2,78,g3g2,0,0.36380910873413086
2,white,2,80,g2h1,0,0.5342915058135986
2,white,2,82,e1f1,0,0.4630591869354248
3,white,2,0,e2e4,215,1.0218150615692139
3,white,2,2,e4d5,156,1.0174927711486816
3,white,2,4,b1c3,31,1.0249674320220947
3,white,2,6,g1f3,113,1.0298123359680176
3,white,2,8,h2h4,130,1.023231029510498
3,white,2,10,a2a3,184,1.0229718685150146
3,white,2,12,d2d4,73,1.014836311340332
3,white,2,14,d1d2,27,1.02203369140625
3,white,2,16,f3d4,-134,1.022538423538208
3,white,2,18,d4e2,-26,1.017549753189087
3,white,2,20,d2f4,-31,1.0207557678222656
3,white,2,22,c1f4,-37,1.0146243572235107
3,white,2,24,f4g3,10,1.0236866474151611
3,white,2,26,a1d1,0,1.0168499946594238
3,white,2,28,d1d2,-64,1.0201084613800049
3,white,2,30,d2d8,5,1.0204968452453613
3,white,2,32,b2b4,-97,1.014190912246704
3,white,2,34,f2f4,-64,1.0204179286956787
3,white,2,36,e2f4,-8,1.013185739517212
3,white,2,38,f4h5,-34,1.0162632465362549
3,white,2,40,g3c7,56,1.0203802585601807
3,white,2,42,f1e2,37,1.0178108215332031
3,white,2,44,e1g1,0,1.0150401592254639
3,white,2,46,c7e5,-19,1.0168933868408203
3,white,2,48,c3e2,-110,1.0223793983459473
3,white,2,50,f1c1,-12,1.0221896171569824
3,white,2,52,e2d4,0,1.014280080795288
3,white,2,54,c1c7,-49,1.0209312438964844
3,white,2,56,c7c5,-105,1.0191144943237305
3,white,2,58,g1f1,-50,1.0142912864685059
3,white,2,60,e5f4,-112,1.0146737098693848
3,white,2,62,f1g1,-140,1.0217702388763428
3,white,2,64,f4c7,-125,1.0161757469177246
3,white,2,66,d4f3,-39,1.0207901000976562
3,white,2,68,f3g5,-78,1.0166869163513184
3,white,2,70,c7b6,-114,1.0138845443725586
3,white,2,72,b6c5,-60,1.012253999710083
3,white,2,74,g1f2,-56,1.0136847496032715
3,white,2,76,g5f3,-110,1.0543830394744873
3,white,2,78,f2e3,-183,1.053954839706421
3,white,2,80,f3e5,-105,1.0132203102111816
3,white,2,82,e5c4,-133,1.0535001754760742
3,white,2,84,a3a4,0,1.0119166374206543
3,white,2,86,e3d3,-69,1.054321527481079
3,white,2,88,d3c3,-10,1.0539147853851318
3,white,2,90,h4h5,-6,1.053462266921997
3,white,2,92,c3d2,-16,1.0082550048828125
3,white,2,94,a4a5,-11,1.0541646480560303
3,white,2,96,d2d1,-9,1.0539920330047607
3,white,2,98,d1c1,-13,1.0537033081054688
3,white,2,100,c1b1,-8,1.0076243877410889
3,white,2,102,b1c2,-12,1.0133299827575684
3,white,2,104,c2b1,-10,1.0104126930236816
3,white,2,106,b1b2,-3,1.0536229610443115
3,white,2,108,b2b3,-2,1.0140719413757324
3,white,2,110,b3b2,0,0.8661999702453613
3,white,2,112,b2c2,-6,1.0097315311431885
3,white,2,114,c2c3,-4,1.0534398555755615
3,white,2,116,c3b2,-5,1.053903579711914
3,white,2,118,b2c2,-4,1.009183406829834
3,white,2,120,c2b1,0,0.7775733470916748
3,white,2,122,b1c1,0,0.5719585418701172
3,white,2,124,c1d1,0,0.5729095935821533
3,white,2,126,d1e1,0,0.3801918029785156
3,white,2,128,e1e2,0,0.27718043327331543
3,white,2,130,e2d3,0,0.16466259956359863
3,white,2,132,d3c2,0,5.001156330108643
3,white,2,134,c2b3,0,0.09530186653137207
3,white,2,136,b3a4,0,0.02033376693725586
4,white,2,0,e2e4,185,1.0195674896240234
4,white,2,2,e4d5,105,1.0225651264190674
4,white,2,4,b1c3,118,1.0212922096252441
4,white,2,6,d2d4,87,1.017460584640503
4,white,2,8,c1d2,9,1.0166904926300049
4,white,2,10,d2c1,57,1.0230436325073242
4,white,2,12,a2a3,116,1.0242347717285156
4,white,2,14,g1h3,62,1.0238511562347412
4,white,2,16,c1e3,38,1.0216538906097412
4,white,2,18,c3a4,336,1.0224096775054932
4,white,2,20,a3b4,410,1.0207560062408447
4,white,2,22,c2c3,313,1.019235610961914
4,white,2,24,f1e2,442,1.0205981731414795
4,white,2,26,e1g1,326,1.021113395690918
4,white,2,28,f2e3,362,1.020514965057373
4,white,2,30,e2c4,463,1.0177233219146729
4,white,2,32,d1b1,275,1.021287441253662
4,white,2,34,c4a2,256,1.0192439556121826
4,white,2,36,e3d4,230,1.0196704864501953
4,white,2,38,f1e1,389,1.0216233730316162
4,white,2,40,e1e5,477,1.0194532871246338
4,white,2,42,h3g5,446,1.018620252609253
4,white,2,44,a2f7,419,1.0161714553833008
4,white,2,46,a1a4,0,1.015897274017334
4,white,2,48,g1h1,0,5.0012946128845215
4,white,2,50,b1f1,0,5.001408576965332
5,white,2,0,e2e4,118,1.0174050331115723
5,white,2,2,e4d5,80,1.0172369480133057
5,white,2,4,b1c3,148,1.02638578414917
5,white,2,6,d2d4,100,1.0175271034240723
5,white,2,8,g1f3,79,1.0250473022460938
5,white,2,10,f3e5,94,1.0198841094970703
5,white,2,12,a2a3,383,1.0220909118652344
5,white,2,14,c1e3,20,1.0254509449005127
5,white,2,16,a1a2,78,1.0204339027404785
