game,cpu color,num workers,move number,move,move evaluation,move time
1,black,2,1,d7d5,9,0.26138854026794434
1,black,2,3,g8f6,-29,0.2622547149658203
1,black,2,5,b8c6,-11,0.2604517936706543
1,black,2,7,a7a6,-37,0.26125097274780273
1,black,2,9,f6e4,-41,0.2615787982940674
1,black,2,11,e4d6,-46,0.26195240020751953
1,black,2,13,c8e6,-7,0.2608647346496582
1,black,2,15,h7h5,86,0.2634294033050537
1,black,2,17,g7g6,-21,0.2598435878753662
1,black,2,19,d6c4,93,0.2594900131225586
1,black,2,21,d5c4,140,0.30443382263183594
1,black,2,23,f8g7,155,0.25954461097717285
1,black,2,25,e8g8,73,0.26031923294067383
1,black,2,27,b7b5,117,0.26201438903808594
1,black,2,29,e6d7,182,0.25882434844970703
1,black,2,31,a6a5,32,0.25791192054748535
1,black,2,33,a5b4,94,0.3050358295440674
1,black,2,35,a8a5,0,0.26181840896606445
1,black,2,37,b4a3,-148,0.2581779956817627
1,black,2,39,d8a8,104,0.2620267868041992
1,black,2,41,a8a6,124,0.25768041610717773
1,black,2,43,e7e6,67,0.26172804832458496
1,black,2,45,f8a8,-26,0.259716272354126
1,black,2,47,g8f8,-9,0.2622389793395996
1,black,2,49,f8g8,-62,0.3043067455291748
1,black,2,51,a5a4,92,0.26047444343566895
1,black,2,53,a6c8,76,0.2625751495361328
1,black,2,55,a4a6,-36,0.2590014934539795
1,black,2,57,a8a7,204,0.2591426372528076
1,black,2,59,a6a2,242,0.30459117889404297
1,black,2,61,c8b8,251,0.30555081367492676
1,black,2,63,b8c8,210,0.305159330368042
1,black,2,65,a7a1,248,0.26357316970825195
1,black,2,67,c6a5,181,0.2608025074005127
1,black,2,69,g7f8,142,0.2604715824127197
1,black,2,71,a1a4,197,0.26220011711120605
1,black,2,73,c7c5,286,0.2592806816101074
1,black,2,75,a4a3,291,0.25995349884033203
1,black,2,77,a3a2,143,0.26005101203918457
1,black,2,79,c8b7,284,0.2606842517852783
1,black,2,81,d7b5,298,0.2615840435028076
1,black,2,83,c5c4,275,0.26256513595581055
1,black,2,85,f8c5,173,0.3046855926513672
1,black,2,87,b7f7,372,0.26096630096435547
1,black,2,89,f7f5,413,0.30486297607421875
1,black,2,91,g8g7,410,0.2577521800994873
1,black,2,93,c5e3,497,0.2609069347381592
1,black,2,95,f5d3,540,0.25934576988220215
1,black,2,97,h5h4,0,0.2612121105194092
1,black,2,99,a5c6,0,0.2200632095336914
1,black,2,101,c6d8,0,0.12282156944274902
1,black,2,103,g7f7,0,0.1021120548248291
1,black,2,105,f7f8,0,0.06450581550598145
1,black,2,107,f8e8,0,0.012291193008422852
2,black,2,1,d7d5,10,0.26136326789855957
2,black,2,3,g8f6,-25,0.2606542110443115
2,black,2,5,b8c6,-11,0.2591874599456787
2,black,2,7,a7a6,-37,0.2600593566894531
2,black,2,9,f6e4,-21,0.26027393341064453
2,black,2,11,e4d6,-46,0.2606794834136963
2,black,2,13,e7e6,-28,0.2613246440887451
2,black,2,15,h7h5,-87,0.2635049819946289
2,black,2,17,d6e4,37,0.26157689094543457
2,black,2,19,d5e4,117,0.262829065322876
2,black,2,21,h5h4,27,0.30449986457824707
2,black,2,23,d8d5,21,0.2590293884277344
2,black,2,25,d5e4,8,0.2596440315246582
2,black,2,27,f8d6,-20,0.30505871772766113
2,black,2,29,c7d6,0,0.2586512565612793
2,black,2,31,b7c6,10,0.2575862407684326
2,black,2,33,e6e5,3,0.30731892585754395
2,black,2,35,e8d7,46,0.2593080997467041
2,black,2,37,d6d5,131,0.25974035263061523
2,black,2,39,h8h5,192,0.3046855926513672
2,black,2,41,g7g5,227,0.30516886711120605
2,black,2,43,h5h8,278,0.2583577632904053
2,black,2,45,c8b7,331,0.26148200035095215
2,black,2,47,a8e8,284,0.25948619842529297
2,black,2,49,h8g8,305,0.2618856430053711
2,black,2,51,g5g4,321,0.25864624977111816
2,black,2,53,g8g4,274,0.2598891258239746
2,black,2,55,g4g3,289,0.2600579261779785
2,black,2,57,g3c3,366,0.3074815273284912
2,black,2,59,f7e6,264,0.2592203617095947
2,black,2,61,d7c8,544,0.30475950241088867
2,black,2,63,c8c7,274,0.2590348720550537
2,black,2,65,b7c8,230,0.2622711658477783
2,black,2,67,c3c2,229,0.2611403465270996
2,black,2,69,e8d8,328,0.25943470001220703
2,black,2,71,d8h8,109,0.30445361137390137
2,black,2,73,c2g2,50,0.30487060546875
2,black,2,75,h8h7,0,0.3047950267791748
2,black,2,77,h7h6,0,0.30452513694763184
2,black,2,79,h6h7,0,0.25901222229003906
2,black,2,81,h7h6,0,0.25733375549316406
2,black,2,83,h6h7,0,0.3051626682281494
3,black,2,1,d7d5,-9,0.2595691680908203
3,black,2,3,g8f6,-31,0.25968384742736816
3,black,2,5,b8c6,-11,0.25969362258911133
3,black,2,7,a7a6,-37,0.25974416732788086
3,black,2,9,e7e6,-45,0.26299595832824707
3,black,2,11,h7h6,6,0.26413607597351074
3,black,2,13,b7b6,80,0.26268863677978516
3,black,2,15,f6d7,160,0.26094603538513184
3,black,2,17,a6a5,174,0.30449438095092773
3,black,2,19,c6e7,170,0.2596898078918457
3,black,2,21,e7g6,209,0.30843043327331543
3,black,2,23,d7f8,217,0.3047802448272705
3,black,2,25,d8e7,199,0.30474162101745605
3,black,2,27,a8b8,315,0.25998425483703613
3,black,2,29,e7d7,303,0.25919485092163086
3,black,2,31,g6e7,229,0.2591273784637451
3,black,2,33,d7d6,331,0.2593710422515869
3,black,2,35,f8d7,668,0.30496954917907715
3,black,2,37,b6c5,641,0.2583944797515869
3,black,2,39,d7c5,637,0.30504369735717773
3,black,2,41,d6c5,660,0.2589445114135742
3,black,2,43,f7f6,642,0.26011180877685547
3,black,2,45,e7g6,672,0.26090240478515625
3,black,2,47,e8d8,768,0.259807825088501
3,black,2,49,b8b7,819,0.2594125270843506
3,black,2,51,c8d7,767,0.2597196102142334
