game,cpu color,num workers,move number,move,move evaluation,move time
1,black,2,1,d7d5,20,0.5149376392364502
1,black,2,3,c7c6,25,0.5146791934967041
1,black,2,5,b8d7,-35,0.5168185234069824
1,black,2,7,g8f6,-93,0.5128586292266846
1,black,2,9,e7e6,-114,0.5112543106079102
1,black,2,11,f8e7,51,0.5154247283935547
1,black,2,13,e8g8,26,0.5186324119567871
1,black,2,15,c6c5,45,0.5548050403594971
1,black,2,17,d5e4,50,0.5143070220947266
1,black,2,19,c5d4,18,0.5117838382720947
1,black,2,21,d7f6,-167,0.5180377960205078
1,black,2,23,b7b6,27,0.5162444114685059
1,black,2,25,c8b7,-67,0.5141348838806152
1,black,2,27,d8d5,-68,0.5110740661621094
1,black,2,29,d5d6,-65,0.5138735771179199
1,black,2,31,f6d5,-116,0.515376091003418
1,black,2,33,f7f6,-109,0.517772912979126
1,black,2,35,f8d8,-165,0.5123157501220703
1,black,2,37,d5c7,-173,0.5129342079162598
1,black,2,39,c7d5,-36,0.5159709453582764
1,black,2,41,a8c8,-189,0.5549499988555908
1,black,2,43,c8c1,-101,0.5134108066558838
1,black,2,45,d6g3,-134,0.5127112865447998
1,black,2,47,e7d6,-230,0.5128738880157471
1,black,2,49,d5f4,-841,0.5123062133789062
1,black,2,51,d6f4,-776,0.5134389400482178
1,black,2,53,f6f5,-6481,0.515674352645874
1,black,2,55,e6f5,-3,0.5108115673065186
1,black,2,57,g8f8,-8,0.5117745399475098
1,black,2,59,g3h2,-1403,0.5130867958068848
1,black,2,61,g7h6,-6486,0.5117650032043457
1,black,2,63,d8d6,-2,0.5112276077270508
1,black,2,65,b7a6,-2,0.5101079940795898
1,black,2,67,d6d4,-2,0.5080137252807617
1,black,2,69,d4d6,0,0.47167515754699707
1,black,2,71,f4d6,0,0.505969762802124
1,black,2,73,a6d3,0,0.37383604049682617
1,black,2,75,h2e5,0,0.32960081100463867
1,black,2,77,e5e2,0,0.18539190292358398
1,black,2,79,d6g3,0,0.060514211654663086
1,black,2,81,e2f1,0,0.007871389389038086
2,black,2,1,e7e5,-42,0.5133841037750244
2,black,2,3,e5d4,1,0.516331672668457
2,black,2,5,d7d5,20,0.5149736404418945
2,black,2,7,c7c6,-14,0.5132343769073486
2,black,2,9,f8e7,20,0.5134541988372803
2,black,2,11,g8f6,21,0.5163767337799072
2,black,2,13,e8g8,-58,0.5164973735809326
2,black,2,15,f6e4,-32,0.5106351375579834
2,black,2,17,f7f5,-62,0.5194225311279297
2,black,2,19,c8e6,-113,0.5145211219787598
2,black,2,21,b8d7,-98,0.5181150436401367
