game,cpu color,num workers,move number,move,move evaluation,move time
1,white,2,0,e2e4,73,0.514960527420044
1,white,2,2,e4d5,115,0.5180737972259521
1,white,2,4,b1c3,123,0.5160520076751709
1,white,2,6,g1f3,200,0.5147302150726318
1,white,2,8,h2h4,143,0.5129215717315674
1,white,2,10,a2a3,187,0.5164098739624023
1,white,2,12,d2d4,24,0.5130929946899414
1,white,2,14,d4c5,-21,0.5128624439239502
1,white,2,16,d1d3,73,0.512253999710083
1,white,2,18,c1d2,77,0.5140042304992676
1,white,2,20,d2c3,130,0.5139617919921875
1,white,2,22,c2d3,169,0.5143036842346191
1,white,2,24,c5b6,122,0.5135557651519775
1,white,2,26,f1e2,127,0.5144720077514648
1,white,2,28,e1g1,123,0.5110132694244385
1,white,2,30,b2b3,121,0.5110912322998047
1,white,2,32,a1b1,171,0.5104713439941406
1,white,2,34,c3d2,196,0.5093345642089844
1,white,2,36,b3b4,288,0.5122745037078857
1,white,2,38,b1b3,143,0.508922815322876
1,white,2,40,d3d4,120,0.5112514495849609
1,white,2,42,f1c1,89,0.5124702453613281
1,white,2,44,c1c7,198,0.5147116184234619
1,white,2,46,b3f3,382,0.511540412902832
1,white,2,48,d2e3,380,0.554802656173706
1,white,2,50,f3f4,142,0.5164878368377686
1,white,2,52,c7c8,96,0.5136222839355469
1,white,2,54,e2b5,541,0.5145590305328369
1,white,2,56,f4c4,176,0.5116279125213623
1,white,2,58,c4c8,125,0.5129082202911377
1,white,2,60,f2e3,192,0.514899492263794
1,white,2,62,c8c7,151,0.5120828151702881
1,white,2,64,c7c6,165,0.555387020111084
1,white,2,66,c6b6,166,0.512007474899292
1,white,2,68,b5c6,205,0.5128252506256104
1,white,2,70,c6b5,175,0.515587568283081
1,white,2,72,b6a6,79,0.5100209712982178
1,white,2,74,g1f2,109,0.5110559463500977
1,white,2,76,b5e2,187,0.5122542381286621
1,white,2,78,f2f3,141,0.5542113780975342
1,white,2,80,a6e6,85,0.5130057334899902
1,white,2,82,b4b5,96,0.5125670433044434
1,white,2,84,b5b6,64,0.5154376029968262
1,white,2,86,e2a6,66,0.513117790222168
1,white,2,88,e6e5,69,0.5096325874328613
1,white,2,90,a6d3,44,0.5541198253631592
1,white,2,92,d3f1,9,0.5136189460754395
1,white,2,94,f1d3,9,0.5105195045471191
1,white,2,96,e5f5,9,0.5541939735412598
1,white,2,98,d3f5,9,0.5093107223510742
1,white,2,100,f5e4,9,0.5100240707397461
1,white,2,102,e4g6,9,0.5543296337127686
1,white,2,104,g6f7,9,0.5549159049987793
1,white,2,106,f7g6,14,0.5543136596679688
1,white,2,108,g6f7,9,0.5577869415283203
1,white,2,110,f7g6,10,0.5541009902954102
1,white,2,112,g6h5,12,0.5088305473327637
1,white,2,114,h5e8,9,0.5548484325408936
1,white,2,116,e8h5,9,0.5091390609741211
1,white,2,118,h5e8,16,0.5543701648712158
1,white,2,120,e8d7,9,0.5550417900085449
1,white,2,122,d7c6,9,0.5542151927947998
1,white,2,124,c6d5,9,0.5579047203063965
1,white,2,126,d5c4,9,0.5543255805969238
1,white,2,128,f3e2,9,0.5581250190734863
1,white,2,130,e2f2,9,0.5096466541290283
1,white,2,132,c4e2,9,0.5545566082000732
1,white,2,134,e2c4,9,0.5544934272766113
1,white,2,136,c4e6,9,0.5077383518218994
2,white,2,0,e2e4,132,0.5184943675994873
2,white,2,2,e4d5,61,0.514667272567749
2,white,2,4,b1c3,71,0.5120091438293457
2,white,2,6,d2d4,147,0.5156168937683105
2,white,2,8,c1d2,25,0.5138952732086182
2,white,2,10,g1f3,57,0.5128974914550781
2,white,2,12,c3a4,112,0.512183666229248
2,white,2,14,d2e3,124,0.5168094635009766
2,white,2,16,c2c4,111,0.5130078792572021
2,white,2,18,a4c3,66,0.5158023834228516
2,white,2,20,h2h3,-39,0.5119750499725342
2,white,2,22,d1f3,-69,0.517388105392456
2,white,2,24,g2f3,-72,0.5132696628570557
2,white,2,26,d4e5,63,0.5143346786499023
2,white,2,28,e1c1,62,0.5132737159729004
2,white,2,30,b2c3,79,0.5129818916320801
2,white,2,32,f1e2,79,0.5110039710998535
2,white,2,34,c4c5,-6,0.5160095691680908
2,white,2,36,e3g5,0,0.5156056880950928
2,white,2,38,g5d2,-73,0.5142416954040527
2,white,2,40,h3h4,13,0.5135636329650879
2,white,2,42,d2f4,9,0.5134727954864502
2,white,2,44,d1d4,37,0.5138177871704102
2,white,2,46,d4a4,142,0.5141098499298096
2,white,2,48,h1g1,144,0.5098283290863037
2,white,2,50,a4f4,130,0.5140447616577148
2,white,2,52,c1d2,103,0.5142743587493896
2,white,2,54,f4a4,125,0.5104975700378418
2,white,2,56,d2c2,87,0.5551278591156006
2,white,2,58,e2c4,304,0.5135750770568848
2,white,2,60,a4a7,394,0.5133628845214844
2,white,2,62,a7c7,336,0.511528730392456
2,white,2,64,c7f7,310,0.5131959915161133
2,white,2,66,g1d1,369,0.5550141334533691
2,white,2,68,f7e7,382,0.5113625526428223
2,white,2,70,e7e4,554,0.5541858673095703
2,white,2,72,d1g1,825,0.5147860050201416
2,white,2,74,g1h1,1899,0.5110523700714111
2,white,2,76,e4h4,2,0.5544776916503906
2,white,2,78,f3f4,7,0.5078036785125732
2,white,2,80,h1g1,10,0.512047290802002
2,white,2,82,h4h6,4,0.5092794895172119
2,white,2,84,g1g7,3,0.5084993839263916
2,white,2,86,g7a7,2,0.5575881004333496
2,white,2,88,c4d3,1,0.5545012950897217
2,white,2,90,h6f6,2,0.5476710796356201
2,white,2,92,a2a4,7496,0.5572357177734375
2,white,2,94,d3b5,5,0.5551972389221191
2,white,2,96,f6e6,2,0.5543069839477539
2,white,2,98,e6f6,5,0.5087239742279053
2,white,2,100,a4b5,2,0.5569052696228027
2,white,2,102,c2d1,3,0.5074989795684814
2,white,2,104,d1c2,2,0.5080482959747314
2,white,2,106,f6c6,1,0.5089712142944336
2,white,2,108,c6c8,2,0.5051357746124268
2,white,2,110,a7g7,1,0.554537296295166
2,white,2,112,c8c4,2,0.5048785209655762
2,white,2,114,c4c7,2,0.5552012920379639
2,white,2,116,b5b6,1,0.5576341152191162
2,white,2,118,c7g7,0,0.4301433563232422
2,white,2,120,g7c7,1,0.5543296337127686
2,white,2,122,c7g7,0,0.4286010265350342
3,white,2,0,e2e4,85,0.518341064453125
3,white,2,2,e4d5,99,0.5226562023162842
3,white,2,4,b1c3,107,0.5204362869262695
3,white,2,6,g1f3,181,0.5136487483978271
3,white,2,8,h2h3,40,0.5119631290435791
3,white,2,10,d2d4,195,0.513247013092041
3,white,2,12,c1d2,165,0.5176241397857666
3,white,2,14,c3e4,180,0.5159702301025391
3,white,2,16,e4f6,165,0.5162472724914551
3,white,2,18,d1e2,144,0.5141422748565674
3,white,2,20,e1c1,258,0.511695146560669
3,white,2,22,e2e4,144,0.5134773254394531
3,white,2,24,e4g6,168,0.5128142833709717
3,white,2,26,f1d3,135,0.5127036571502686
3,white,2,28,c1b1,157,0.5122084617614746
3,white,2,30,d2e3,151,0.5184040069580078
3,white,2,32,f3d4,248,0.5160043239593506
3,white,2,34,d4e2,164,0.5103898048400879
3,white,2,36,d3c4,75,0.5119664669036865
3,white,2,38,e2d4,213,0.5134131908416748
3,white,2,40,f2f3,120,0.5135457515716553
3,white,2,42,e3f2,106,0.5123460292816162
3,white,2,44,d4b3,163,0.5544734001159668
3,white,2,46,c4b3,210,0.5547003746032715
3,white,2,48,d1e1,194,0.5551638603210449
3,white,2,50,a2a4,200,0.5546684265136719
3,white,2,52,a4a5,106,0.5130672454833984
3,white,2,54,e1e6,136,0.5123214721679688
3,white,2,56,f2c5,109,0.5554618835449219
3,white,2,58,h1f1,88,0.5545520782470703
3,white,2,60,f3f4,223,0.5116055011749268
3,white,2,62,f4g5,580,0.5101923942565918
3,white,2,64,g5f6,516,0.5089805126190186
3,white,2,66,c5d4,807,0.515160322189331
3,white,2,68,f1f6,1095,0.512366533279419
3,white,2,70,d4e3,1325,0.5075416564941406
