game,cpu color,num workers,move number,move,move evaluation,move time
1,black,0,1,d7d5,4,0.0006930828094482422
1,black,0,3,g8f6,0,0.0006606578826904297
1,black,0,5,h7h6,9,0.00048160552978515625
1,black,0,7,c7c6,0,0.0006661415100097656
1,black,0,9,c8g4,-778,0.000461578369140625
1,black,0,11,b8d7,-7,0.0006814002990722656
1,black,0,13,d8c7,-71,0.0005600452423095703
1,black,0,15,e7e6,-67,0.0005667209625244141
1,black,0,17,g4f5,-77,0.0005178451538085938
1,black,0,19,f6d7,-84,0.0005228519439697266
1,black,0,21,f5d3,-99,0.0005178451538085938
1,black,0,23,f8e7,-148,0.0005843639373779297
1,black,0,25,e8g8,-124,0.0007195472717285156
1,black,0,27,e6e5,-154,0.0005834102630615234
1,black,0,29,e5e4,-149,0.0005557537078857422
1,black,0,31,c7a5,-175,0.0005342960357666016
1,black,0,33,a5a6,-139,0.0005776882171630859
1,black,0,35,a8d8,-142,0.0005614757537841797
1,black,0,37,b7b5,-100,0.00048661231994628906
1,black,0,39,d7f6,-85,0.00046825408935546875
1,black,0,41,d8a8,-61,0.0005190372467041016
1,black,0,43,e4f3,-75,0.0006663799285888672
1,black,0,45,b5a4,-50,0.0005636215209960938
1,black,0,47,d5e4,-88,0.0004932880401611328
1,black,0,49,f6g4,-84,0.0004820823669433594
1,black,0,51,g4f6,-6,0.0005717277526855469
1,black,0,53,a8b8,-22,0.00067138671875
1,black,0,55,a6c8,-38,0.0006091594696044922
1,black,0,57,c8e6,-252,0.0005640983581542969
1,black,0,59,f6g4,-118,0.0006442070007324219
1,black,0,61,e7h4,-347,0.0006389617919921875
1,black,0,63,f7f5,-831,0.0006117820739746094
1,black,0,65,e6b3,24,0.0006506443023681641
1,black,0,67,f5e4,-73,0.0005404949188232422
1,black,0,69,g8f8,-25,0.0004315376281738281
1,black,0,71,h4e7,10,0.00045228004455566406
1,black,0,73,b8e8,-29,0.0004673004150390625
1,black,0,75,c6b5,50,0.0006279945373535156
1,black,0,77,e7f6,12,0.0005307197570800781
1,black,0,79,a7a6,103,0.0004742145538330078
1,black,0,81,g4e3,241,0.0004622936248779297
1,black,0,83,e8c8,255,0.00048160552978515625
1,black,0,85,f8e8,311,0.00047588348388671875
1,black,0,87,c8d8,310,0.0006077289581298828
1,black,0,89,a6a5,331,0.0006177425384521484
1,black,0,91,d8d7,371,0.0004985332489013672
1,black,0,93,d7d8,367,0.00043272972106933594
1,black,0,95,f6e7,353,0.0005233287811279297
1,black,0,97,d8c8,366,0.0006060600280761719
