game,cpu color,num workers,move number,move,move evaluation,move time
1,white,0,0,e2e4,88,0.0013766288757324219
1,white,0,2,d2d3,25,0.0005421638488769531
1,white,0,4,g1f3,45,0.00061798095703125
1,white,0,6,b1c3,28,0.00046896934509277344
1,white,0,8,a2a3,42,0.0005445480346679688
1,white,0,10,b2c3,20,0.0005469322204589844
1,white,0,12,d3e4,-7,0.0005598068237304688
1,white,0,14,e1d1,72,0.0005085468292236328
1,white,0,16,f1d3,-23,0.0005409717559814453
1,white,0,18,h1e1,10,0.0005080699920654297
1,white,0,20,h2h3,-20,0.0005104541778564453
1,white,0,22,d1e2,-94,0.0005009174346923828
1,white,0,24,c1e3,-52,0.0005450248718261719
1,white,0,26,e1b1,-91,0.00047516822814941406
1,white,0,28,a3a4,-89,0.0005085468292236328
1,white,0,30,f3d2,-86,0.0005512237548828125
1,white,0,32,f2f4,-60,0.0005676746368408203
1,white,0,34,f4f5,-41,0.0005166530609130859
1,white,0,36,d2b3,11,0.00048351287841796875
1,white,0,38,b3c5,21,0.000461578369140625
1,white,0,40,c5a6,15,0.0004646778106689453
1,white,0,42,e2f2,205,0.0004677772521972656
1,white,0,44,a6c5,52,0.0005829334259033203
1,white,0,46,d3a6,62,0.0004723072052001953
1,white,0,48,a6b5,45,0.00047469139099121094
1,white,0,50,c5e6,20,0.00055694580078125
1,white,0,52,f5e6,-79,0.0005152225494384766
1,white,0,54,f2g1,-84,0.0004584789276123047
1,white,0,56,b1d1,-117,0.0005168914794921875
1,white,0,58,b5d3,-139,0.0005614757537841797
1,white,0,60,e3d2,-129,0.0004658699035644531
1,white,0,62,c2b3,-174,0.0004563331604003906
1,white,0,64,d2e1,-206,0.0004661083221435547
1,white,0,66,d1d3,-221,0.0005285739898681641
1,white,0,68,g1f2,-152,0.0005161762237548828
1,white,0,70,a4a5,-211,0.00043392181396484375
1,white,0,72,a5b6,-183,0.0004458427429199219
1,white,0,74,a1a2,-251,0.0005338191986083984
1,white,0,76,f2g1,-261,0.0004439353942871094
1,white,0,78,g1f1,-260,0.0004482269287109375
1,white,0,80,a2a1,-330,0.0005278587341308594
1,white,0,82,g2g3,-356,0.00046944618225097656
1,white,0,84,e1g3,-419,0.0004439353942871094
1,white,0,86,g3e1,-433,0.0004525184631347656
1,white,0,88,b3b4,-425,0.0004298686981201172
1,white,0,90,f1f2,-453,0.0004711151123046875
1,white,0,92,a1d1,-400,0.0005228519439697266
1,white,0,94,c3c4,-412,0.0005128383636474609
1,white,0,96,f2e2,-379,0.0005137920379638672
1,white,0,98,d1e1,-341,0.0005078315734863281
1,white,0,100,b4b5,-362,0.0004448890686035156
1,white,0,102,e1a1,-347,0.0004279613494873047
1,white,0,104,e2f3,-359,0.0004405975341796875
1,white,0,106,a1c1,-319,0.0005393028259277344
1,white,0,108,c1c6,-340,0.0005209445953369141
1,white,0,110,c6c7,-349,0.00043082237243652344
1,white,0,112,c7b7,-341,0.0004277229309082031
1,white,0,114,f3g4,-323,0.0004324913024902344
1,white,0,116,g4f5,-333,0.00042557716369628906
1,white,0,118,f5e6,-369,0.0004985332489013672
1,white,0,120,b7c7,-361,0.0005137920379638672
1,white,0,122,c7b7,-309,0.0005166530609130859
1,white,0,124,b7b5,-335,0.0005075931549072266
1,white,0,126,b5b1,-461,0.0004494190216064453
1,white,0,128,b1c1,-518,0.0004475116729736328
1,white,0,130,c1g1,-601,0.0005285739898681641
1,white,0,132,e6d6,-667,0.0004506111145019531
1,white,0,134,g1a1,-782,0.0005035400390625
1,white,0,136,a1a6,-1448,0.00044918060302734375
1,white,0,138,d6e7,-1482,0.0005588531494140625
1,white,0,140,a6d6,-1475,0.0005335807800292969
1,white,0,142,d6d5,-1481,0.0005106925964355469
1,white,0,144,d5b5,-1404,0.0004730224609375
1,white,0,146,b5b8,-1487,0.0005114078521728516
1,white,0,148,e7f8,-1496,0.0004696846008300781
1,white,0,150,b8e8,-1492,0.0005633831024169922
1,white,0,152,e8b8,-6300,0.0005340576171875
1,white,0,154,b8b1,Mate in X,0.0004239082336425781
2,white,0,0,e2e4,88,0.0004889965057373047
2,white,0,2,d2d3,25,0.0004494190216064453
2,white,0,4,g1f3,45,0.0005688667297363281
2,white,0,6,b1c3,28,0.0004551410675048828
2,white,0,8,a2a3,42,0.0005202293395996094
2,white,0,10,b2c3,20,0.0005393028259277344
2,white,0,12,d3e4,-7,0.0005574226379394531
2,white,0,14,e1d1,72,0.0005140304565429688
2,white,0,16,f1d3,-23,0.0004661083221435547
2,white,0,18,h1e1,10,0.0006175041198730469
2,white,0,20,h2h3,-20,0.0005099773406982422
2,white,0,22,d1e2,-94,0.0005910396575927734
2,white,0,24,c1e3,-52,0.00046539306640625
2,white,0,26,e1b1,-91,0.00047779083251953125
2,white,0,28,a3a4,-89,0.0004894733428955078
2,white,0,30,f3d2,-86,0.0005779266357421875
2,white,0,32,f2f4,-60,0.0005052089691162109
2,white,0,34,f4f5,-41,0.0005621910095214844
2,white,0,36,d2b3,11,0.0004677772521972656
2,white,0,38,b3c5,21,0.00046706199645996094
2,white,0,40,c5a6,15,0.0005443096160888672
2,white,0,42,e2f2,205,0.0004725456237792969
2,white,0,44,a6c5,52,0.0004887580871582031
2,white,0,46,d3a6,62,0.0005581378936767578
2,white,0,48,a6b5,45,0.0004780292510986328
2,white,0,50,c5e6,20,0.0005638599395751953
2,white,0,52,f5e6,-79,0.0005223751068115234
2,white,0,54,f2g1,-84,0.00046443939208984375
2,white,0,56,b1d1,-117,0.0004715919494628906
2,white,0,58,b5d3,-139,0.000579833984375
2,white,0,60,e3d2,-129,0.00046634674072265625
2,white,0,62,c2b3,-174,0.0004546642303466797
2,white,0,64,d2e1,-206,0.0005438327789306641
2,white,0,66,d1d3,-221,0.0005271434783935547
2,white,0,68,g1f2,-152,0.00043129920959472656
2,white,0,70,a4a5,-211,0.0005178451538085938
2,white,0,72,a5b6,-183,0.0004405975341796875
2,white,0,74,a1a2,-251,0.0004544258117675781
2,white,0,76,f2g1,-261,0.0004584789276123047
2,white,0,78,g1f1,-260,0.00044345855712890625
2,white,0,80,a2a1,-330,0.0004658699035644531
2,white,0,82,g2g3,-356,0.0004334449768066406
2,white,0,84,e1g3,-419,0.0005104541778564453
2,white,0,86,g3e1,-433,0.0004894733428955078
2,white,0,88,b3b4,-425,0.0005121231079101562
2,white,0,90,f1f2,-453,0.0005168914794921875
2,white,0,92,a1d1,-400,0.00047016143798828125
2,white,0,94,c3c4,-412,0.0005156993865966797
2,white,0,96,f2e2,-379,0.0004286766052246094
2,white,0,98,d1e1,-341,0.0005025863647460938
2,white,0,100,b4b5,-362,0.000499725341796875
2,white,0,102,e1a1,-347,0.0005104541778564453
2,white,0,104,e2f3,-359,0.0004425048828125
2,white,0,106,a1c1,-319,0.00044989585876464844
2,white,0,108,c1c6,-340,0.00043392181396484375
2,white,0,110,c6c7,-349,0.00043201446533203125
2,white,0,112,c7b7,-341,0.00043487548828125
2,white,0,114,f3g4,-323,0.0004851818084716797
2,white,0,116,g4f5,-333,0.0005125999450683594
2,white,0,118,f5e6,-369,0.0005075931549072266
2,white,0,120,b7c7,-361,0.00051116943359375
2,white,0,122,c7b7,-309,0.0005245208740234375
2,white,0,124,b7b5,-335,0.0005345344543457031
2,white,0,126,b5b1,-461,0.0005254745483398438
2,white,0,128,b1c1,-518,0.0004527568817138672
2,white,0,130,c1g1,-601,0.0004363059997558594
2,white,0,132,e6d6,-667,0.00043773651123046875
2,white,0,134,g1a1,-782,0.00043702125549316406
2,white,0,136,a1a6,-1448,0.0005433559417724609
2,white,0,138,d6e7,-1482,0.0004525184631347656
2,white,0,140,a6d6,-1475,0.0004534721374511719
2,white,0,142,d6d5,-1481,0.0004756450653076172
2,white,0,144,d5b5,-1404,0.0005109310150146484
2,white,0,146,b5b8,-1487,0.0005142688751220703
2,white,0,148,e7f8,-1496,0.0006971359252929688
2,white,0,150,b8e8,-1492,0.0005633831024169922
2,white,0,152,e8b8,-6300,0.0005309581756591797
2,white,0,154,b8b1,Mate in X,0.0005054473876953125
3,white,0,0,e2e4,88,0.0005400180816650391
3,white,0,2,d2d3,25,0.0005338191986083984
3,white,0,4,g1f3,45,0.0005862712860107422
3,white,0,6,b1c3,28,0.00045871734619140625
3,white,0,8,a2a3,42,0.0004935264587402344
3,white,0,10,b2c3,20,0.00044727325439453125
3,white,0,12,d3e4,-7,0.00047898292541503906
3,white,0,14,e1d1,72,0.0004253387451171875
3,white,0,16,f1d3,-23,0.00046253204345703125
3,white,0,18,h1e1,10,0.0005125999450683594
3,white,0,20,h2h3,-20,0.0005986690521240234
3,white,0,22,d1e2,-94,0.0005931854248046875
3,white,0,24,c1e3,-52,0.00046563148498535156
3,white,0,26,e1b1,-91,0.0004801750183105469
3,white,0,28,a3a4,-89,0.0004987716674804688
3,white,0,30,f3d2,-86,0.0004901885986328125
3,white,0,32,f2f4,-60,0.00048065185546875
3,white,0,34,f4f5,-41,0.0005047321319580078
3,white,0,36,d2b3,11,0.00048160552978515625
3,white,0,38,b3c5,21,0.00047326087951660156
3,white,0,40,c5a6,15,0.0004677772521972656
3,white,0,42,e2f2,205,0.00047016143798828125
3,white,0,44,a6c5,52,0.0004875659942626953
3,white,0,46,d3a6,62,0.0004687309265136719
3,white,0,48,a6b5,45,0.0004658699035644531
3,white,0,50,c5e6,20,0.0004792213439941406
3,white,0,52,f5e6,-79,0.0005383491516113281
3,white,0,54,f2g1,-84,0.0005557537078857422
3,white,0,56,b1d1,-117,0.0005643367767333984
3,white,0,58,b5d3,-139,0.0005803108215332031
3,white,0,60,e3d2,-129,0.0005497932434082031
3,white,0,62,c2b3,-174,0.0005393028259277344
3,white,0,64,d2e1,-206,0.0005333423614501953
3,white,0,66,d1d3,-221,0.0005216598510742188
3,white,0,68,g1f2,-152,0.0005204677581787109
3,white,0,70,a4a5,-211,0.0005166530609130859
3,white,0,72,a5b6,-183,0.0005161762237548828
3,white,0,74,a1a2,-251,0.0005409717559814453
3,white,0,76,f2g1,-261,0.0005297660827636719
3,white,0,78,g1f1,-260,0.0005323886871337891
3,white,0,80,a2a1,-330,0.0005481243133544922
3,white,0,82,g2g3,-356,0.0005104541778564453
3,white,0,84,e1g3,-419,0.0005195140838623047
3,white,0,86,g3e1,-433,0.0005257129669189453
3,white,0,88,b3b4,-425,0.0005195140838623047
3,white,0,90,f1f2,-453,0.0005171298980712891
3,white,0,92,a1d1,-400,0.0005469322204589844
3,white,0,94,c3c4,-412,0.0005135536193847656
3,white,0,96,f2e2,-379,0.0005171298980712891
