game,cpu color,num workers,thinking time,winner,elo
1,white,2,500,black,1350
2,white,2,500,black,1350
3,white,2,500,black,1350
4,white,2,500,black,1350
5,white,2,500,black,1350
6,white,2,500,black,1350
7,white,2,500,black,1350
8,white,2,500,black,1350
9,white,2,500,black,1350
10,white,2,500,black,1350
11,white,2,500,black,1350
12,white,2,500,black,1350
13,white,2,500,black,1350
14,white,2,500,black,1350
15,white,2,500,black,1350
16,white,2,500,black,1350
17,white,2,500,black,1350
18,white,2,500,black,1350
19,white,2,500,black,1350
20,white,2,500,black,1350
21,white,2,500,black,1350
22,white,2,500,black,1350
23,white,2,500,black,1350
24,white,2,500,black,1350
25,white,2,500,black,1350
