game,cpu color,num workers,move number,move,move evaluation,move time
1,white,2,0,e2e4,0,0.09134387969970703
1,white,2,2,d1e2,0,0.09806990623474121
1,white,2,4,e4e5,0,0.17751336097717285
1,white,2,6,g1f3,0,0.1129903793334961
1,white,2,8,h2h3,0,0.06959295272827148
1,white,2,10,b1a3,0,0.15317678451538086
1,white,2,12,b2b3,0,0.09763407707214355
1,white,2,14,e2d1,0,0.05602121353149414
1,white,2,16,c2d3,0,0.06635117530822754
1,white,2,18,c1b2,0,0.07005691528320312
1,white,2,20,g2g4,0,0.04119157791137695
1,white,2,22,h3h4,0,0.04338550567626953
1,white,2,24,f1e2,0,0.04503798484802246
1,white,2,26,h1h2,0,0.04982566833496094
1,white,2,28,f3d4,0,0.10082674026489258
1,white,2,30,e1f1,0,0.028200387954711914
1,white,2,32,b2d4,0,0.026561260223388672
1,white,2,34,d1e2,0,0.039971113204956055
1,white,2,36,f1g1,0,2.5012125968933105
1,white,2,38,g1h1,0,0.046892642974853516
1,white,2,40,h2g2,0,0.04046773910522461
2,white,2,0,e2e4,0,0.08629584312438965
2,white,2,2,d1e2,0,0.09724068641662598
2,white,2,4,e4e5,0,0.17183518409729004
2,white,2,6,g1f3,0,0.11314034461975098
2,white,2,8,h2h3,0,0.0704338550567627
2,white,2,10,b1a3,0,0.154296875
2,white,2,12,b2b3,0,0.09852480888366699
2,white,2,14,e2d1,0,0.05693864822387695
2,white,2,16,c2d3,0,0.06708312034606934
2,white,2,18,c1b2,0,0.07076621055603027
2,white,2,20,g2g4,0,0.045568227767944336
2,white,2,22,h3h4,0,0.04406571388244629
2,white,2,24,f1e2,0,0.04597926139831543
2,white,2,26,h1h2,0,0.05084848403930664
2,white,2,28,f3d4,0,0.10177135467529297
2,white,2,30,e1f1,0,0.029026031494140625
2,white,2,32,b2d4,0,0.027795791625976562
2,white,2,34,d1e2,0,0.04072070121765137
2,white,2,36,f1g1,0,2.501183032989502
2,white,2,38,g1h1,0,0.04850196838378906
2,white,2,40,h2g2,0,0.0419306755065918
3,white,2,0,e2e4,0,0.08771347999572754
3,white,2,2,d1e2,0,0.09478020668029785
3,white,2,4,e4e5,0,0.16998887062072754
3,white,2,6,g1f3,0,0.11294269561767578
3,white,2,8,h2h3,0,0.07000374794006348
3,white,2,10,b1a3,0,0.1531970500946045
3,white,2,12,b2b3,0,0.09860086441040039
3,white,2,14,e2d1,0,0.05701255798339844
3,white,2,16,c2d3,0,0.06692099571228027
3,white,2,18,c1b2,0,0.07032108306884766
3,white,2,20,g2g4,0,0.04075145721435547
3,white,2,22,h3h4,0,0.04266691207885742
3,white,2,24,f1e2,0,0.04583597183227539
3,white,2,26,h1h2,0,0.05071520805358887
3,white,2,28,f3d4,0,0.10119962692260742
3,white,2,30,e1f1,0,0.02899765968322754
3,white,2,32,b2d4,0,0.0275881290435791
3,white,2,34,d1e2,0,0.04052448272705078
3,white,2,36,f1g1,0,2.500974655151367
3,white,2,38,g1h1,0,0.0474853515625
3,white,2,40,h2g2,0,0.04210782051086426
4,white,2,0,e2e4,0,0.08698630332946777
4,white,2,2,d1e2,0,0.10050582885742188
4,white,2,4,e4e5,0,0.17592263221740723
4,white,2,6,g1f3,0,0.11342167854309082
4,white,2,8,h2h3,0,0.07116937637329102
4,white,2,10,b1a3,0,0.15589618682861328
4,white,2,12,b2b3,0,0.0984656810760498
4,white,2,14,e2d1,0,0.05873680114746094
4,white,2,16,c2d3,0,0.07506990432739258
4,white,2,18,c1b2,0,0.0708010196685791
4,white,2,20,g2g4,0,0.040963172912597656
4,white,2,22,h3h4,0,0.04283332824707031
4,white,2,24,f1e2,0,0.046871185302734375
4,white,2,26,h1h2,0,0.050658464431762695
4,white,2,28,f3d4,0,0.10212969779968262
4,white,2,30,e1f1,0,0.029230117797851562
4,white,2,32,b2d4,0,0.02831411361694336
4,white,2,34,d1e2,0,0.04225468635559082
4,white,2,36,f1g1,0,2.5011043548583984
4,white,2,38,g1h1,0,0.04855465888977051
4,white,2,40,h2g2,0,0.0419161319732666
5,white,2,0,e2e4,0,0.08611941337585449
5,white,2,2,d1e2,0,0.09617996215820312
5,white,2,4,e4e5,0,0.17357802391052246
5,white,2,6,g1f3,0,0.1171274185180664
5,white,2,8,h2h3,0,0.07012653350830078
5,white,2,10,b1a3,0,0.15315723419189453
5,white,2,12,b2b3,0,0.098052978515625
5,white,2,14,e2d1,0,0.057027578353881836
5,white,2,16,c2d3,0,0.06692910194396973
5,white,2,18,c1b2,0,0.07031512260437012
5,white,2,20,g2g4,0,0.04077601432800293
