game,cpu color,num workers,move number,move,move evaluation,move time
1,white,3,0,e2e4,109,0.5227217674255371
1,white,3,2,e4d5,99,0.521256685256958
1,white,3,4,b1c3,115,0.5231966972351074
1,white,3,6,f1e2,197,0.5173294544219971
1,white,3,8,d2d4,106,0.5192935466766357
1,white,3,10,c3d5,186,0.5193402767181396
1,white,3,12,g1f3,171,0.5175495147705078
1,white,3,14,c2c4,268,0.5214600563049316
1,white,3,16,e1g1,249,0.5197677612304688
1,white,3,18,e2d3,357,0.520392894744873
1,white,3,20,h2h3,305,0.5153634548187256
1,white,3,22,f1e1,263,0.5224897861480713
1,white,3,24,g2h3,497,0.5204465389251709
1,white,3,26,f3e5,528,0.5202484130859375
1,white,3,28,e1d1,641,0.5157756805419922
1,white,3,30,d4e5,585,0.5202713012695312
1,white,3,32,c1e3,600,0.515216588973999
1,white,3,34,f2f4,630,0.5147144794464111
1,white,3,36,a2a3,799,0.5198013782501221
1,white,3,38,e5e6,719,0.5179429054260254
1,white,3,40,d3f5,612,0.5185234546661377
1,white,3,42,d1d6,710,0.5532975196838379
1,white,3,44,f5e4,711,0.5535311698913574
1,white,3,46,e4d5,791,0.520068883895874
1,white,3,48,a1b1,859,0.5164015293121338
1,white,3,50,g1f2,749,0.5173749923706055
1,white,3,52,b2b4,922,0.5153942108154297
1,white,3,54,c4c5,848,0.5172593593597412
1,white,3,56,b4c5,933,0.5150830745697021
1,white,3,58,f2g3,957,0.5526742935180664
1,white,3,60,e3d2,1323,0.5126426219940186
1,white,3,62,d2a5,1566,0.5153415203094482
1,white,3,64,b1b2,1389,0.5557899475097656
1,white,3,66,a5c3,1337,0.5533268451690674
1,white,3,68,c3e5,1325,0.5528290271759033
1,white,3,70,e5d6,1820,0.5533907413482666
1,white,3,72,c5d6,3,0.5120546817779541
1,white,3,74,b2e2,3,0.5135114192962646
1,white,3,76,e2b2,3,0.555487871170044
1,white,3,78,b2e2,2,0.5532300472259521
1,white,3,80,e2b2,4,0.5556282997131348
1,white,3,82,b2b3,11,0.5554203987121582
1,white,3,84,d5b3,5,0.5108118057250977
1,white,3,86,g3f3,3,0.5527815818786621
1,white,3,88,b3a4,2,0.5550734996795654
1,white,3,90,f3e3,1,0.526073694229126
1,white,3,92,e6e7,0,0.5127294063568115
1,white,3,94,e7e8q,0,0.4240434169769287
1,white,3,96,e8c6,0,0.1681838035583496
1,white,3,98,c6c5,0,0.06679153442382812
1,white,3,100,c5f5,7,0.5125024318695068
1,white,3,102,d6d7,3,0.512753963470459
1,white,3,104,d7d8q,3,0.5534498691558838
1,white,3,106,e3d4,5,0.5198471546173096
1,white,3,108,f5d3,3,0.5526366233825684
1,white,3,110,d4e5,-2,0.5601153373718262
1,white,3,112,e5e4,0,0.41019368171691895
1,white,3,114,e4d4,0,0.43531298637390137
1,white,3,116,d4e5,0,0.454526424407959
1,white,3,118,e5d4,0,0.33731508255004883
1,white,3,120,d4c4,0,0.23876571655273438
1,white,3,122,f4f5,0,2.5013749599456787
2,white,3,0,e2e4,112,0.5198934078216553
2,white,3,2,e4d5,65,0.5264945030212402
2,white,3,4,b1c3,116,0.5233416557312012
2,white,3,6,f1e2,239,0.5139029026031494
2,white,3,8,d2d4,123,0.5207703113555908
2,white,3,10,g1f3,164,0.5202291011810303
