game,cpu color,num workers,move number,move,move evaluation,move time
1,white,4,0,e2e4,120,0.527472972869873
1,white,4,2,b1c3,12,0.5262031555175781
1,white,4,4,c3d5,-33,0.5219063758850098
1,white,4,6,d5f4,36,0.5180974006652832
1,white,4,8,f4d3,-45,0.5170848369598389
1,white,4,10,b2b4,-41,0.521043062210083
1,white,4,12,g1f3,-91,0.5201468467712402
1,white,4,14,d3e5,-15,0.5187158584594727
1,white,4,16,f1b5,100,0.5210990905761719
1,white,4,18,e5d7,0,0.5186407566070557
1,white,4,20,d7c5,74,0.5165920257568359
1,white,4,22,c5d3,87,0.5195200443267822
1,white,4,24,d1e2,49,2.5014467239379883
1,white,4,26,h2h4,126,0.5200910568237305
1,white,4,28,c1b2,154,0.5182106494903564
1,white,4,30,f3d4,284,0.5185654163360596
1,white,4,32,d4b5,178,0.515770435333252
1,white,4,34,e1e2,230,2.501051902770996
1,white,4,36,b5d4,300,0.5242447853088379
1,white,4,38,h1e1,253,0.5187764167785645
1,white,4,40,f2f3,350,0.5190556049346924
1,white,4,42,e2d3,273,0.5545580387115479
1,white,4,44,b4b5,272,0.5171496868133545
1,white,4,46,c2c4,214,0.5176355838775635
1,white,4,48,e1e4,279,0.5141539573669434
1,white,4,50,e4e5,252,0.5168614387512207
1,white,4,52,a1e1,298,0.5190601348876953
1,white,4,54,d3c2,171,0.5155589580535889
1,white,4,56,a2a4,95,0.5146036148071289
1,white,4,58,c2b3,282,0.5191001892089844
1,white,4,60,d4c6,131,0.5170960426330566
1,white,4,62,b2a3,528,0.5181870460510254
1,white,4,64,a3c5,485,0.5544173717498779
1,white,4,66,a4a5,686,0.5553483963012695
1,white,4,68,e1h1,869,0.5557191371917725
1,white,4,70,e5d5,551,0.5138444900512695
1,white,4,72,a5a6,1335,0.554593563079834
1,white,4,74,a6a7,562,0.5174942016601562
1,white,4,76,d5d6,670,0.5192275047302246
1,white,4,78,d2d4,581,0.5151045322418213
1,white,4,80,b3a4,570,0.5190081596374512
1,white,4,82,f3f4,797,0.5543513298034668
1,white,4,84,c4c5,812,0.5208227634429932
1,white,4,86,c6a7,1187,2.501957893371582
1,white,4,88,a4b3,1696,2.5014114379882812
1,white,4,90,d6d4,1385,0.5541195869445801
1,white,4,92,c5c6,6791,0.555067777633667
1,white,4,94,f4e5,3,0.5543460845947266
1,white,4,96,h1h2,0,0.5134344100952148
1,white,4,98,a7c8,1,0.5113439559936523
1,white,4,100,h2h1,2,0.5243444442749023
1,white,4,102,h1a1,2,0.560532808303833
1,white,4,104,a1d1,3,0.5551638603210449
1,white,4,106,c8b6,3,0.5555167198181152
1,white,4,108,d1g1,2,0.5130257606506348
1,white,4,110,b6c4,2,0.5149967670440674
1,white,4,112,g1e1,1,0.5116193294525146
1,white,4,114,c4b6,2,0.5471162796020508
1,white,4,116,b6c4,2,0.5599796772003174
1,white,4,118,c6c7,0,0.4806327819824219
1,white,4,120,c7c8n,2,0.5616989135742188
1,white,4,122,c8e7,2,0.554114818572998
1,white,4,124,e7c6,2,0.55552077293396
1,white,4,126,c6e5,2,0.5540587902069092
1,white,4,128,b3b2,3,0.5552835464477539
1,white,4,130,b2b3,2,0.5112547874450684
1,white,4,132,b3c2,2,0.5149092674255371
1,white,4,134,c2b3,1,0.5166585445404053
1,white,4,136,b3b2,3,0.5132005214691162
1,white,4,138,b2c2,3,0.513077974319458
1,white,4,140,c2b3,3,0.5601832866668701
1,white,4,142,b3b2,2,0.5119273662567139
1,white,4,144,e5f3,5,0.5133404731750488
1,white,4,146,c4e5,3,0.5555994510650635
1,white,4,148,b2c2,3,0.5607953071594238
1,white,4,150,b5b6,2,0.5121395587921143
1,white,4,152,f3g1,1,0.5120270252227783
1,white,4,154,b6b7,2,0.5549936294555664
1,white,4,156,b7b8r,13,0.5126895904541016
1,white,4,158,e5g4,5,0.5604238510131836
1,white,4,160,g1e2,14,0.5544195175170898
1,white,4,162,b8e8,14,0.555229663848877
1,white,4,164,g4e5,12,0.5556154251098633
1,white,4,166,e8f8,12,0.5597114562988281
1,white,4,168,e5f3,4,0.555314302444458
1,white,4,170,f3g1,11,0.5537800788879395
1,white,4,172,f8f2,5,0.5537436008453369
1,white,4,174,g1e2,6,0.5600728988647461
1,white,4,176,f2g2,9,0.5549330711364746
1,white,4,178,g2g6,6,0.561248779296875
1,white,4,180,e2g3,5,0.5108969211578369
1,white,4,182,c2d3,4,0.560737133026123
1,white,4,184,d3c4,3,0.5552365779876709
1,white,4,186,c4d5,3,0.5548994541168213
1,white,4,188,g6e6,3,0.5600512027740479
1,white,4,190,g3h5,0,0.5039217472076416
1,white,4,192,e6e2,3,0.539262056350708
1,white,4,194,d5d4,3,0.5102779865264893
1,white,4,196,d4d5,3,0.5109217166900635
1,white,4,198,e2g2,3,0.5210666656494141
1,white,4,200,g2e2,3,0.5604774951934814
1,white,4,202,e2g2,3,0.5593290328979492
2,white,4,0,e2e4,69,0.5191507339477539
2,white,4,2,e4e5,21,0.521991491317749
2,white,4,4,c2c3,58,0.5252730846405029
2,white,4,6,g1f3,24,0.5223724842071533
2,white,4,8,d1a4,6,0.5240333080291748
2,white,4,10,b1a3,-35,0.5217909812927246
2,white,4,12,a4c4,33,0.5187699794769287
2,white,4,14,f1d3,106,0.5197057723999023
2,white,4,16,c4d5,175,0.5180437564849854
2,white,4,18,a3c2,194,0.5212304592132568
2,white,4,20,c2d4,178,0.5206050872802734
2,white,4,22,f3d4,170,0.5178706645965576
2,white,4,24,d4e2,159,0.5214247703552246
2,white,4,26,f2f3,182,0.5190005302429199
2,white,4,28,f3f4,87,0.5185222625732422
2,white,4,30,d3b1,180,0.5172474384307861
2,white,4,32,e1g1,171,0.5553746223449707
2,white,4,34,a1b1,87,0.555039644241333
2,white,4,36,e2d4,166,0.5192255973815918
2,white,4,38,b2b3,58,0.5208590030670166
2,white,4,40,d4f5,139,0.5549204349517822
2,white,4,42,g1f2,158,0.5144443511962891
2,white,4,44,b3b4,116,0.5168640613555908
2,white,4,46,a2a3,48,0.518988847732544
2,white,4,48,a3b4,35,0.5163140296936035
2,white,4,50,f2f3,78,0.5179986953735352
2,white,4,52,b1b2,149,0.5162692070007324
2,white,4,54,g2g4,38,0.5158050060272217
2,white,4,56,h2g3,37,0.5541865825653076
2,white,4,58,d2d4,30,0.5187911987304688
2,white,4,60,b2d2,78,0.5138208866119385
2,white,4,62,f1f2,93,0.5543951988220215
2,white,4,64,c1b2,100,0.5546495914459229
2,white,4,66,f2e2,36,0.5544943809509277
2,white,4,68,d2c2,141,0.5544602870941162
2,white,4,70,c2d2,3,0.5166516304016113
2,white,4,72,e2g2,0,0.5123491287231445
2,white,4,74,g2f2,0,0.5156941413879395
2,white,4,76,f3e3,38,0.5139639377593994
2,white,4,78,d2f2,-19,0.514737606048584
2,white,4,80,f2d2,0,0.5132677555084229
2,white,4,82,d2g2,9,0.5548157691955566
2,white,4,84,g2e2,54,0.5170822143554688
2,white,4,86,e3f3,0,0.5546290874481201
