game,cpu color,num workers,move number,move,move evaluation,move time
1,black,6,1,e7e6,5,0.5281624794006348
1,black,6,3,d7d5,0,0.5553004741668701
1,black,6,5,c7c6,-44,0.524677038192749
1,black,6,7,g8f6,-82,0.5207312107086182
1,black,6,9,c6c5,-41,0.5192077159881592
1,black,6,11,b8d7,-4,0.5201907157897949
1,black,6,13,e6d5,-25,0.5279443264007568
1,black,6,15,d8a5,-49,0.5200576782226562
1,black,6,17,a5c7,-24,0.5178866386413574
1,black,6,19,h7h6,-96,0.5209150314331055
1,black,6,21,a7a5,103,0.5164952278137207
1,black,6,23,f8e7,40,0.5209627151489258
1,black,6,25,e8g8,-44,0.5213079452514648
1,black,6,27,a8b8,14,0.5195133686065674
1,black,6,29,e7d6,125,0.5174267292022705
1,black,6,31,f8d8,71,0.5199024677276611
1,black,6,33,b7b6,5,0.5147879123687744
1,black,6,35,d6f8,15,0.5267560482025146
1,black,6,37,c8b7,50,0.5192084312438965
1,black,6,39,b6c5,16,0.517958402633667
1,black,6,41,c7d6,125,0.5207698345184326
1,black,6,43,f6d7,135,0.5191564559936523
1,black,6,45,d6d7,207,0.5160601139068604
1,black,6,47,f8c5,154,0.5188133716583252
1,black,6,49,a5a4,260,0.5574383735656738
1,black,6,51,h6h5,0,0.5543708801269531
2,black,6,1,e7e6,-24,0.5204787254333496
2,black,6,3,b7b6,-71,0.5204658508300781
2,black,6,5,c8b7,13,0.5196008682250977
2,black,6,7,h7h5,-30,0.51906418800354
2,black,6,9,b8c6,102,0.5202951431274414
2,black,6,11,f8e7,-15,0.5184619426727295
2,black,6,13,d7d6,8,0.5186471939086914
2,black,6,15,a7a6,-21,0.5191597938537598
2,black,6,17,d6e5,-86,0.5171244144439697
2,black,6,19,b6b5,-187,0.519303560256958
2,black,6,21,c6e5,-216,0.5199198722839355
2,black,6,23,d8d5,-195,0.5183184146881104
2,black,6,25,d5g2,-259,0.5209131240844727
2,black,6,27,g2h1,-399,0.5167455673217773
2,black,6,29,h1h2,-507,0.5210661888122559
2,black,6,31,g8h6,-582,0.5254671573638916
2,black,6,33,a6a5,-606,0.5178022384643555
2,black,6,35,e8g8,-403,0.5197601318359375
2,black,6,37,h6g4,-643,0.518073558807373
2,black,6,39,a8c8,-831,0.5567424297332764
2,black,6,41,c8c5,-738,0.5167882442474365
2,black,6,43,c5e5,-965,0.5174448490142822
2,black,6,45,b7g2,-934,0.5180583000183105
2,black,6,47,h2g1,-1625,0.519608736038208
2,black,6,49,e5e1,-1821,0.5551929473876953
2,black,6,51,g4f2,-4,0.5542700290679932
2,black,6,53,f2d1,-1,0.5165929794311523
2,black,6,55,f8a8,-5,0.5581851005554199
2,black,6,57,a8a7,-2,0.515655517578125
2,black,6,59,a7d7,-2,0.5550730228424072
2,black,6,61,g2b7,-1,0.5163440704345703
2,black,6,63,b7d5,-2,0.5589261054992676
2,black,6,65,d7c7,-3,0.5192501544952393
2,black,6,67,a5b4,-3,0.5173213481903076
2,black,6,69,c7c6,-4,0.5179388523101807
2,black,6,71,f7f6,-4,0.5202157497406006
2,black,6,73,c6a6,-1,0.5550572872161865
2,black,6,75,a6a3,-2,0.5560526847839355
2,black,6,77,g7g6,-2,0.5156185626983643
2,black,6,79,g1g2,-1,0.5581188201904297
2,black,6,81,g6h5,-1,0.5552823543548584
2,black,6,83,g8g7,-1,0.5570492744445801
2,black,6,85,g7f7,-3,0.5145063400268555
2,black,6,87,f7e7,-1,2.502810001373291
2,black,6,89,g2g4,-1,0.5557417869567871
2,black,6,91,a3h3,-2,0.5544402599334717
2,black,6,93,h3b3,-1,0.5559282302856445
2,black,6,95,b3a3,-1,0.5574088096618652
2,black,6,97,e7e8,-2,2.5028293132781982
2,black,6,99,e8d7,-1,2.5027692317962646
2,black,6,101,a3h3,-2,0.5170423984527588
2,black,6,103,g4g1,-3,0.556166410446167
2,black,6,105,d7e7,-3,0.5549535751342773
2,black,6,107,d5a2,-2,0.5548367500305176
2,black,6,109,g1g6,0,0.5570943355560303
2,black,6,111,h3h1,-10,0.5166072845458984
2,black,6,113,g6h6,-3,0.5572655200958252
2,black,6,115,h1h2,-2,0.5167443752288818
2,black,6,117,h2h3,-1,0.5178711414337158
2,black,6,119,h6g6,-1,0.514676570892334
2,black,6,121,g6d3,0,0.5566263198852539
2,black,6,123,d3e3,-1,0.5146262645721436
2,black,6,125,e3a3,-3,0.5196824073791504
2,black,6,127,h3h1,-2,0.5159258842468262
2,black,6,129,a3a4,-1,0.5150728225708008
2,black,6,131,a4a3,-2,0.518822193145752
2,black,6,133,a3b2,-2,0.516718864440918
2,black,6,135,e7d7,-3,0.5111556053161621
2,black,6,137,d7c7,-3,2.5028555393218994
2,black,6,139,c7b8,-2,0.5142245292663574
2,black,6,141,b2a3,-2,0.5573804378509521
2,black,6,143,a3e7,-2,0.5119926929473877
2,black,6,145,h1h4,-3,0.5166373252868652
2,black,6,147,e6e5,-2,0.5139451026916504
2,black,6,149,a2e6,-2,0.5074927806854248
2,black,6,151,e7d7,-2,0.5563421249389648
2,black,6,153,d7d4,0,0.4655570983886719
2,black,6,155,h4h2,0,0.43041372299194336
2,black,6,157,e6g4,0,0.4427201747894287
