game,cpu color,num workers,move number,move,move evaluation,move time
1,white,2,0,e2e4,118,1.2739081382751465
1,white,2,2,e4d5,117,1.2800147533416748
1,white,2,4,g1e2,38,1.2761609554290771
1,white,2,6,b1c3,141,1.275447130203247
1,white,2,8,d2d4,50,1.2730700969696045
1,white,2,10,e2g3,91,1.2732183933258057
1,white,2,12,c1f4,142,1.2725837230682373
1,white,2,14,f1d3,18,1.2751681804656982
1,white,2,16,d1g4,104,1.3056707382202148
1,white,2,18,h2h3,98,1.2742915153503418
1,white,2,20,c3b5,124,1.2733871936798096
1,white,2,22,f4c7,25,1.2717983722686768
1,white,2,24,c7f4,43,1.2750067710876465
1,white,2,26,b5a3,3,1.2674875259399414
1,white,2,28,f4e3,32,1.2714385986328125
1,white,2,30,g3e2,19,1.2726609706878662
1,white,2,32,c2c3,0,1.2785813808441162
1,white,2,34,g2g3,-71,1.2764892578125
1,white,2,36,e3h6,-16,1.271836280822754
1,white,2,38,h3h4,45,1.2749354839324951
1,white,2,40,e2f4,82,1.2676630020141602
1,white,2,42,d3e2,-62,1.2762210369110107
1,white,2,44,a1d1,-171,1.2762978076934814
1,white,2,46,e2d1,-441,1.2633414268493652
1,white,2,48,d1g4,-200,1.2687065601348877
1,white,2,50,f4d5,-295,1.2684767246246338
1,white,2,52,f2f4,-448,1.2719082832336426
1,white,2,54,e1d2,-494,1.2730166912078857
1,white,2,56,f4g5,-411,1.2632722854614258
1,white,2,58,h1f1,-321,1.2708168029785156
1,white,2,60,b2b4,-397,1.272258996963501
1,white,2,62,a3c2,-441,1.267981767654419
1,white,2,64,c2d4,-468,1.270909309387207
1,white,2,66,f1h1,-407,1.2661380767822266
1,white,2,68,d2e2,-468,1.2715020179748535
1,white,2,70,h1f1,-622,1.2703156471252441
1,white,2,72,e2e3,-715,1.2652888298034668
1,white,2,74,f1d1,-587,1.2665083408355713
1,white,2,76,e3f4,-730,1.275667667388916
1,white,2,78,d1c1,-612,1.2682867050170898
1,white,2,80,c3c4,-511,1.2714173793792725
1,white,2,82,h4g5,-611,1.267998456954956
1,white,2,84,c4d5,-562,1.2780036926269531
1,white,2,86,a2a4,-542,1.2778112888336182
1,white,2,88,b4b5,-668,1.2637739181518555
1,white,2,90,f4g3,-12,1.3047831058502197
1,white,2,92,g3f2,-1109,1.2695226669311523
1,white,2,94,f2e3,-1200,1.305842638015747
1,white,2,96,c1h1,-10,1.2632110118865967
1,white,2,98,h1h7,0,1.3044672012329102
1,white,2,100,h7f7,0,1.26493239402771
1,white,2,102,f7f8,-10,1.2659082412719727
1,white,2,104,f8f7,-1809,1.3049473762512207
1,white,2,106,f7b7,-12,1.2677702903747559
1,white,2,108,e3f2,-1009,1.2659227848052979
1,white,2,110,b7b8,-6,1.3054406642913818
1,white,2,112,b8a8,-2,1.2695646286010742
1,white,2,114,f2f1,-16,1.2693734169006348
1,white,2,116,a8d8,-12,1.3057234287261963
1,white,2,118,f1g1,0,0.206559419631958
1,white,2,120,g1h1,0,0.011708498001098633
2,white,2,0,e2e4,55,1.2753512859344482
2,white,2,2,e4d5,92,1.2731192111968994
2,white,2,4,b1c3,166,1.27540922164917
2,white,2,6,d2d4,132,1.2843620777130127
2,white,2,8,c1d2,70,1.2687253952026367
2,white,2,10,d2c1,32,1.2803170680999756
2,white,2,12,a2a3,75,1.2733166217803955
2,white,2,14,a1b1,194,1.2756195068359375
2,white,2,16,h2h4,3,1.2774689197540283
2,white,2,18,g1e2,-40,1.275724172592163
2,white,2,20,c3d5,0,1.272921085357666
2,white,2,22,c1e3,-318,1.2706232070922852
2,white,2,24,d4c5,-184,1.2678320407867432
2,white,2,26,e3c5,-180,1.2650253772735596
2,white,2,28,b2b4,-198,1.269627571105957
2,white,2,30,d1d2,-400,1.273698091506958
2,white,2,32,f2f3,11,1.2743444442749023
