game,cpu color,num workers,move number,move,move evaluation,move time
1,black,2,1,e7e5,-129,1.279876947402954
1,black,2,3,e5d4,-18,1.2728626728057861
1,black,2,5,d7d5,-89,1.2756576538085938
1,black,2,7,h7h5,0,1.272540807723999
1,black,2,9,g8f6,75,1.279062032699585
1,black,2,11,b8d7,67,1.2815313339233398
1,black,2,13,f8e7,0,1.2793235778808594
1,black,2,15,f6g4,5,1.2720625400543213
1,black,2,17,e8e7,216,1.2778944969177246
1,black,2,19,e7f8,-127,1.2709555625915527
1,black,2,21,g4f6,0,1.2723357677459717
1,black,2,23,d7c5,9,1.2728514671325684
1,black,2,25,h5h4,-16,1.2714312076568604
1,black,2,27,h8h5,-168,1.2741739749908447
1,black,2,29,b7b6,-30,1.2723593711853027
1,black,2,31,d8e8,0,1.2731988430023193
1,black,2,33,f6e4,-99,1.2701916694641113
1,black,2,35,e4c3,39,1.274376630783081
1,black,2,37,h5e5,-16,1.2746663093566895
1,black,2,39,f7f6,-44,1.2667181491851807
1,black,2,41,e5e4,-808,1.2731740474700928
1,black,2,43,e4e5,47,1.271939754486084
1,black,2,45,e8d8,4,1.267613410949707
1,black,2,47,e5e8,61,1.2726526260375977
1,black,2,49,c8f5,39,1.267723560333252
1,black,2,51,f5d3,-38,1.3049943447113037
1,black,2,53,e8e6,-9,1.2656066417694092
1,black,2,55,a8e8,0,1.2664248943328857
1,black,2,57,g7g5,-9,1.2651784420013428
1,black,2,59,a7a5,-42,1.267214298248291
1,black,2,61,e6c6,46,1.2662684917449951
1,black,2,63,e8e5,0,1.2656610012054443
1,black,2,65,f8e8,47,1.2627522945404053
1,black,2,67,e8f7,-9,1.2671067714691162
1,black,2,69,e5c5,0,1.3050739765167236
1,black,2,71,f6f5,0,1.2641706466674805
1,black,2,73,f5e4,0,1.2684414386749268
1,black,2,75,c6d6,0,1.2706432342529297
1,black,2,77,d6e6,0,1.267307996749878
1,black,2,79,g5f4,8,1.266437292098999
1,black,2,81,b6b5,0,1.2668697834014893
1,black,2,83,f4f3,9,1.2618286609649658
1,black,2,85,c5f5,4,1.3044886589050293
1,black,2,87,f7g8,7,1.2629895210266113
1,black,2,89,f5f6,0,0.9098837375640869
1,black,2,91,f6g6,0,0.5568034648895264
1,black,2,93,a5a4,0,0.2652292251586914
1,black,2,95,g8f8,0,0.02222895622253418
1,black,2,97,f8g8,0,0.012078046798706055
2,black,2,1,e7e6,13,1.2727551460266113
2,black,2,3,f7f5,-10,1.2730884552001953
2,black,2,5,d7d6,43,1.274608850479126
2,black,2,7,c7d6,-68,1.2720227241516113
2,black,2,9,g8f6,-25,1.273132562637329
2,black,2,11,b8c6,-50,1.2760097980499268
2,black,2,13,h7h6,-73,1.27177095413208
2,black,2,15,a7a6,-82,1.2805426120758057
2,black,2,17,g7g5,-49,1.274714469909668
2,black,2,19,f8g7,-64,1.2797200679779053
2,black,2,21,b7b5,-81,1.2734949588775635
2,black,2,23,e8g8,-50,1.277223825454712
2,black,2,25,e6e5,-241,1.2796134948730469
2,black,2,27,g8h8,-226,1.2808647155761719
2,black,2,29,c6a5,-212,1.2742335796356201
2,black,2,31,c8d7,-329,1.272815465927124
2,black,2,33,a5b3,-316,1.2761738300323486
2,black,2,35,g5g4,-820,1.2730610370635986
2,black,2,37,d8e8,-394,1.2748370170593262
2,black,2,39,f6d5,-677,1.273881435394287
2,black,2,41,d5f6,-810,1.269914150238037
2,black,2,43,f6g4,-353,1.2765147686004639
2,black,2,45,g4f6,-601,1.2776095867156982
2,black,2,47,e5e4,-6,1.2800629138946533
2,black,2,49,e8g6,-100,1.2775077819824219
2,black,2,51,a8c8,-856,1.2780873775482178
2,black,2,53,c8e8,-871,1.277895450592041
2,black,2,55,f5e4,-539,1.2745161056518555
2,black,2,57,g6f7,-864,1.2682902812957764
2,black,2,59,f6g4,-4,1.2661371231079102
2,black,2,61,g4e3,-3,1.3050153255462646
2,black,2,63,f7f2,-6171,1.2708015441894531
2,black,2,65,f2e3,-3,1.2686183452606201
2,black,2,67,b5c4,0,1.0740582942962646
2,black,2,69,e3g3,-6,1.2564382553100586
2,black,2,71,g3g5,-6108,1.2703993320465088
2,black,2,73,e8e7,-4,1.262709140777588
2,black,2,75,e7f7,-3,1.304898977279663
2,black,2,77,f7f1,-4,1.2630867958068848
2,black,2,79,f8f1,0,1.2587366104125977
2,black,2,81,g5f4,0,1.2526605129241943
2,black,2,83,f4f3,-2,1.3011515140533447
2,black,2,85,g7f8,-4,1.3046338558197021
2,black,2,87,f3c3,-6103,1.2600524425506592
2,black,2,89,e4e3,-16,1.3054778575897217
2,black,2,91,f1f2,0,1.1254706382751465
2,black,2,93,f8d6,0,1.255314588546753
2,black,2,95,h8g8,-16,1.3050837516784668
