game,cpu color,num workers,move number,move,move evaluation,move time
1,black,2,1,d7d5,-73,1.028088092803955
1,black,2,3,b8d7,-142,1.0246338844299316
1,black,2,5,c7c6,13,1.0255722999572754
1,black,2,7,g8f6,13,1.0208759307861328
1,black,2,9,f6e4,-62,1.022493839263916
1,black,2,11,h7h5,34,1.0273983478546143
1,black,2,13,d5e4,11,1.0269379615783691
1,black,2,15,f7f5,20,1.0266990661621094
1,black,2,17,g7g6,-90,1.0230510234832764
1,black,2,19,d7e5,-20,1.0283098220825195
1,black,2,21,e8f7,-70,1.0135633945465088
1,black,2,23,d8d6,-67,1.0254237651824951
1,black,2,25,d6b8,-37,1.025818109512329
1,black,2,27,b7b6,274,1.0193893909454346
1,black,2,29,b6c5,248,1.0197207927703857
1,black,2,31,b8e5,314,1.0196208953857422
1,black,2,33,c6d5,278,1.017956256866455
1,black,2,35,f8g7,297,1.02064847946167
1,black,2,37,c8b7,256,1.0165042877197266
1,black,2,39,g7e5,329,1.02433180809021
1,black,2,41,b7c6,174,1.0187692642211914
1,black,2,43,a8b8,260,1.0190467834472656
1,black,2,45,e7e6,197,1.022035837173462
1,black,2,47,h5h4,186,1.0163114070892334
1,black,2,49,h8d8,225,1.018364429473877
1,black,2,51,e5g3,223,1.0182597637176514
1,black,2,53,b8d8,289,1.0173580646514893
1,black,2,55,g6g5,224,1.0160300731658936
1,black,2,57,f5f4,-271,1.0199272632598877
1,black,2,59,f4f3,219,1.0174427032470703
1,black,2,61,e4f3,24,1.0256805419921875
1,black,2,63,d8e8,254,1.0122199058532715
1,black,2,65,f7f6,0,1.0203211307525635
1,black,2,67,g5g4,0,1.01617431640625
1,black,2,69,e8g8,-223,1.015669584274292
1,black,2,71,a7a6,-468,1.0168187618255615
1,black,2,73,c6e4,-337,1.0183544158935547
1,black,2,75,g8a8,-92,1.0539710521697998
1,black,2,77,h4g3,-800,1.014693021774292
1,black,2,79,e4c2,76,1.0209543704986572
1,black,2,81,a8e8,0,1.0171515941619873
1,black,2,83,f6g5,-21,1.053736686706543
1,black,2,85,c2g6,-6,1.0540778636932373
1,black,2,87,c5c4,-235,1.0536925792694092
1,black,2,89,e8e3,-1325,1.0160915851593018
1,black,2,91,g6e4,-452,1.013810634613037
1,black,2,93,f3f2,-969,1.0139119625091553
1,black,2,95,g5h4,-12,1.0198626518249512
1,black,2,97,e4f3,-9,1.0175447463989258
1,black,2,99,e3b3,-9,1.0134034156799316
1,black,2,101,b3f3,-9,1.0128042697906494
1,black,2,103,f3b3,-996,1.013638973236084
1,black,2,105,h4h3,-772,1.0179896354675293
1,black,2,107,b3f3,0,1.011228084564209
1,black,2,109,a6a5,0,0.05462837219238281
2,black,2,1,e7e6,18,1.0280592441558838
2,black,2,3,f7f5,-22,1.0237572193145752
2,black,2,5,d7d6,-35,1.0187008380889893
2,black,2,7,c7d6,-74,1.0217931270599365
2,black,2,9,g8f6,-95,1.0208585262298584
2,black,2,11,b8c6,-135,1.0255768299102783
2,black,2,13,c8d7,77,1.021451711654663
2,black,2,15,e6e5,-62,1.0227439403533936
2,black,2,17,a7a6,4,1.0205676555633545
2,black,2,19,d6d5,70,1.020993709564209
2,black,2,21,e5e4,-301,1.0222299098968506
2,black,2,23,h7h6,-786,1.0255370140075684
2,black,2,25,f8d6,-371,1.0180931091308594
2,black,2,27,f6d5,-585,1.0176637172698975
2,black,2,29,d8a5,-529,1.025071382522583
2,black,2,31,a8b8,-457,1.0149874687194824
2,black,2,33,b8b7,-922,1.0160281658172607
2,black,2,35,e8f8,-706,1.0539040565490723
2,black,2,37,a5c7,-681,1.0208876132965088
2,black,2,39,d7c8,-997,1.0182690620422363
2,black,2,41,g7g5,-800,1.0193591117858887
2,black,2,43,e4f3,-824,1.0157549381256104
2,black,2,45,f8g7,-839,1.0188236236572266
2,black,2,47,h8e8,-622,1.0201478004455566
2,black,2,49,c6e5,-1201,1.0174572467803955
2,black,2,51,f5f4,-933,1.0198702812194824
2,black,2,53,e5d7,-1327,1.0540754795074463
2,black,2,55,c8b7,-935,1.0172243118286133
2,black,2,57,e8e1,-1121,1.0228748321533203
2,black,2,59,d7f6,-1174,1.0180861949920654
2,black,2,61,f6d7,-1488,1.0143015384674072
2,black,2,63,d5e3,-1255,1.0145432949066162
2,black,2,65,b7e4,-1556,1.0538074970245361
2,black,2,67,d7c5,-6195,1.0097355842590332
2,black,2,69,f4e3,-6305,1.0537214279174805
2,black,2,71,c5b3,0,0.9950473308563232
2,black,2,73,b3a5,-3,1.053506851196289
2,black,2,75,e3e2,-2,1.0147161483764648
2,black,2,77,a5c4,-8,1.0139188766479492
2,black,2,79,e4d3,-4,1.0180168151855469
2,black,2,81,c4d2,0,0.6252164840698242
2,black,2,83,d2f3,-9,1.004127025604248
2,black,2,85,f3e1,-8,1.0118279457092285
2,black,2,87,d3c4,-6,1.0542662143707275
2,black,2,89,h6g5,-6,1.0541532039642334
2,black,2,91,c4b3,0,0.9659788608551025
2,black,2,93,c7c3,0,0.78475022315979
2,black,2,95,b3e6,0,0.8285558223724365
2,black,2,97,c3c4,0,0.524237871170044
2,black,2,99,c4d4,0,0.5147981643676758
2,black,2,101,e6h3,0,0.4276599884033203
2,black,2,103,h3f5,0,0.8371737003326416
2,black,2,105,f5h3,0,0.42968106269836426
2,black,2,107,d4g1,0,0.574028730392456
2,black,2,109,g1b1,0,0.8572354316711426
2,black,2,111,b1b4,0,0.3069884777069092
2,black,2,113,h3g4,0,0.5277955532073975
2,black,2,115,g7f6,0,0.2504723072052002
2,black,2,117,b4c4,0,0.21750211715698242
2,black,2,119,c4b4,0,0.2534031867980957
2,black,2,121,f6e5,0,0.21695303916931152
2,black,2,123,g4d1,0,0.18384122848510742
2,black,2,125,b4f4,0,0.008566617965698242
2,black,2,127,f4b4,0,0.00817561149597168
2,black,2,129,b4f4,0,0.009195089340209961
2,black,2,131,f4b4,0,0.008754730224609375
3,black,2,1,d7d5,16,1.0237576961517334
3,black,2,3,c7c6,0,1.026301383972168
3,black,2,5,b8d7,-40,1.0261256694793701
3,black,2,7,g8f6,-27,1.0238409042358398
3,black,2,9,h7h6,19,1.0227859020233154
3,black,2,11,a7a6,18,1.019223928451538
3,black,2,13,e7e6,41,1.0204992294311523
